,,,,,,,,,,,,,,,e,m,w,e,m,w,e,m,w,e,m,w,e,m,w,m,w,e,m,w,e,m,w,e,m,w
,,,,,,,,,,,,,,,8,8,8,15,15,15,26,26,26,27,27,27,36,36,36,41,41,44,44,44,59,59,59,72,72,72
Compound,m/z,Charge,Retention time (min),Blank#1_Seg1Ev2,Blank#2_Seg1Ev2,Blank#3_Seg1Ev2,Blank#4_Seg1Ev2,Blank#5_Seg1Ev2,Blank#6_Seg1Ev2,Blank#7_Seg1Ev2,Blank#8_Seg1Ev2,Blank#9_Seg1Ev2,Blank#10_Seg1Ev2,Blank#11_Seg1Ev2,cR8#1_Seg1Ev2,cR8m#1_Seg1Ev2,cR8w#1_Seg1Ev2,cR15#1_Seg1Ev2,cR15m#1_Seg1Ev2,cR15w#1_Seg1Ev2,cR26#1_Seg1Ev2,cR26m#1_Seg1Ev2,cR26w#1_Seg1Ev2,cR27#1_Seg1Ev2,cR27m#1_Seg1Ev2,cR27w#1_Seg1Ev2,cR36-2#1_Seg1Ev2,cR36-2m#1_Seg1Ev2,cR36-2w#1_Seg1Ev2,cR41m#1_Seg1Ev2,cR41w#1_Seg1Ev2,cR44#1_Seg1Ev2,cR44m#1_Seg1Ev2,cR44w#1_Seg1Ev2,cR59#1_Seg1Ev2,cR59m#1_Seg1Ev2,cR59w#1_Seg1Ev2,cR72#1_Seg1Ev2,cR72m#1_Seg1Ev2,cR72w#1_Seg1Ev2
1.03_609.1930m/z,609.1929916598,1,1.0266666667,0,0,0,0,0,0,0,0,0,0,0,48825.2998146338,33455.0925623196,43440.4109431527,2613.5452270508,16467.9554309274,0,4770.7654821568,2341.3620605469,0,0,0,0,0,0,0,85982.7953896585,103486.669226804,22990.3175048787,15226.6776123053,1229.627380371,0,0,1345.1880493162,1920.399658203,6146.3922119145,0
10.29_507.2764m/z,507.2764080717,1,10.2933333333,0,0,0,0,0,0,0,0,0,0,0,141173.308053111,13474.6430103747,0,1075.0625610352,3149.3944141923,0,17528.1861632869,12054.8324059036,0,47028.452831219,43240.5875590359,0,398914.747286877,207744.04176242,0,0,0,19335.7766243409,1378.6622018797,0,8727.4074707032,12807.9832153319,0,165062.729820721,30268.5159440572,0
10.63_339.2019m/z,339.2018513277,1,10.6266666667,122453.205803194,53718.3333810051,214215.715746345,108363.239535695,117932.831210376,104130.954008214,122595.277781792,120352.869911644,112718.222341707,103140.640083642,127121.003160706,28790.1729801387,54301.1878015748,49176.1648234381,4416.472991943,9524.7113037106,52063.5426890822,65371.6573022751,134268.399295185,65764.965070637,59184.1551060161,44232.4610359878,54408.2096344432,48999.5810928492,76741.0676095715,54489.7050084022,25498.1211574234,47023.3992216942,54349.9460189236,58922.3636235105,49282.2855625208,44598.6596334114,46332.8779590754,48156.9936703304,58890.766715939,70144.0625870257,57188.1920430428
12.28_271.2298m/z,271.2297672766,1,12.28,0,0,0,0,1746.5536499026,0,0,0,0,0,0,355727.316704311,42537.3803710934,0,23120.3716430663,8087.3182067862,0,11155.3114013678,0,889.7172534602,981.0331420898,0,0,312581.283262676,57641.8059111713,0,25047.8363278508,0,338855.172949097,42977.6045309973,0,11489.9649658216,0,2411.8743286136,107369.325367697,13937.4126281749,1257.3741455079
19.52_326.8934m/z,326.8934205573,1,19.52,336456.329735119,360941.312259775,382777.971209283,345918.213722015,394319.503869254,376465.008266424,367998.776962556,317207.719223265,288247.972904185,292422.627222348,302969.407578058,366181.795880666,316937.893583258,390816.640529399,356528.70773034,302609.546404083,334404.821498329,366625.93926822,310195.941908514,415246.631575768,391358.561009835,303606.099999336,368849.616493617,364200.633309166,324167.668367144,554542.006545078,319060.604675871,407147.23980289,361636.765085906,295482.302592943,404305.164269809,364912.467987608,293738.438403405,378469.862363096,362616.683828574,302388.868541702,323277.83120163
4.57_387.1307m/z,387.1307120785,1,4.5733333333,0,0,0,0,0,0,0,0,0,0,0,75788.6299130471,34923.1337890628,43668.3942871088,1087.0028686524,778.4100952149,0,0,926.5824890139,5061.4896240232,0,0,1731.6716008347,4514.301818848,3938.3496093746,4780.904785156,0,0,7323.5505676266,0,0,585.0395507811,0,0,21658.3808767165,8078.5899585226,1465.9664916995
10.17_555.2897m/z,555.2897137796,1,10.1733333333,0,0,0,0,0,0,0,0,0,0,0,56477.6896803988,0,0,184481.371441471,462782.563210981,0,88604.5083618187,1053.9014282226,0,13795.4069213849,0,0,470623.618676002,86797.3860168515,0,51966.6047973618,0,356109.514360321,158049.510758107,0,64015.2075941321,25382.1969330059,0,1011778.04288951,173688.325744628,0
5.00_445.1817m/z,445.1816897754,1,5,0,0,0,0,0,0,0,0,0,0,0,4045.2844543454,0,909.5305175779,13926.5646362299,10697.9039916992,1831.7261352541,0,0,0,0,0,0,190001.806329418,179119.5255472,203740.167165834,7717.8429260255,11579.9216308589,802.3921508787,18413.2934570313,0,10895.8895874022,0,4955.9645690919,1368.1629028318,0,0
5.39_465.1145m/z,465.1145030896,1,5.3866666667,0,0,0,0,0,0,0,0,0,0,0,3373.8607788083,0,7756.4692687985,87105.2292236093,75950.3103035311,21186.8510872225,0,0,0,0,1248.6984252928,0,7042.6530606017,0,8286.3995555747,0,0,371784.528761796,173081.144336394,330003.184339851,24515.4235140114,0,6948.5236472039,272564.266275917,512236.591400151,665721.650390659
5.73_451.1634m/z,451.1634179218,1,5.7333333333,0,0,0,0,0,0,0,0,0,0,0,5378.6969531757,1553.6822338823,11989.5470241482,61014.008911135,51229.4818725584,9237.244903565,0,0,0,0,771.5350646971,0,0,0,0,0,0,998649.25660494,370010.548278812,950714.433804574,270573.064451021,57648.2825317371,107417.708129883,86675.3768005373,18798.718048096,14403.2133356451
5.80_301.0375m/z,301.037533949,1,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119933.959574461,123932.896129548,42318.9489870852,0,0,0,1392.1547300331,0,492.9365380886,0,0,0,3629.3767395018,5459.0431823729,18600.898315429,10897.7162475584,15500.3305969247,3883.0490171604,0,1560.303362809,146728.727963758,132667.055422155,78003.0207214311
10.49_327.1863m/z,327.1863066663,1,10.4933333333,1942.4880065919,0,8389.6455078136,1385.8783569336,964.3820495603,0,1109.0161743165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710.1571655273,0,0,0,0,0
3.77_386.0603m/z,386.0603071761,1,3.7733333333,0,0,0,0,0,0,0,0,0,0,0,14520.3658142099,49373.4100952159,99243.852836581,24766.8226256221,0,0,0,0,5538.6823790424,19372.8884044602,30589.2399279959,95391.5184502477,0,0,0,4351.6397891478,19157.2998471883,2923161.79690699,2513615.67911618,2626261.90956857,0,0,0,1553.4635925295,0,1547.6150207519
3.77_365.0585m/z,365.0585051252,1,3.7733333333,0,0,0,0,0,0,0,0,0,0,0,22256.270018877,2451.7188281504,12081.5049496758,2649.515563965,1283.2573242191,0,0,0,0,0,0,0,0,0,0,0,702.5140806976,521048.816562331,233355.570892323,610145.442547551,16493.1801147452,1656.0800170902,19924.5212615735,87812.3299510199,26358.9781799317,13762.9897446914
4.63_475.1622m/z,475.1621807356,1,4.6266666667,0,0,0,0,0,0,0,0,0,0,0,0,1375.5670166016,1029.38079834,382467.683229135,292737.248447051,153880.478240964,0,0,0,0,0,0,143417.638830555,56389.0474243146,63944.5823364252,0,768.514477984,13920.3922729491,0,0,14392.6944399093,1881.0811157227,4298.5884399413,38481.0694462932,946.3270568846,3143.4175439541
6.48_417.2125m/z,417.2125178391,1,6.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454502.308986059,405883.236049973,239907.19165039,13564.6014404303,1567.8619995115,1381.5824584959,0,0,0,0,0,0,14204.9466552734,6850.2178039551,1375.9085693356,1996.2968749998,969.4051208498,833.8879394532,0,0,27202.8504943837,14400.5353393546,76417.1377447001
1.09_486.1622m/z,486.1621676962,1,1.0933333333,0,0,0,0,0,0,0,0,0,0,0,19832.777180449,3939.2378997806,8552.7115478515,5667.0466059432,2150.3737792969,6628.1112060555,0,0,0,0,0,0,0,7226.7715188946,4340.7418212887,0,3190.6165161134,0,2635.4475708008,0,1494.8847656249,0,3.3001822098,10310.9556607935,6475.0210876469,2222.5147705082
5.12_407.1038m/z,407.1037613852,1,5.12,0,0,0,0,0,0,0,0,0,0,0,4327.0761648104,5084.0884094241,4889.7533329859,16641.965194701,16684.3930664071,959.8528747561,0,0,0,997.2268371584,0,1298.6107177732,0,0,0,0,0,1259663.46583804,600231.954193132,1207043.13927378,1824.3999328618,0,1628.2764587404,397348.899737962,193729.147208381,356440.004150954
9.96_476.2822m/z,476.2821536789,1,9.96,34210.4993827664,0,17134.4428998714,0,0,0,0,0,0,0,0,53111.8523526717,5454.705631603,0,4673.7377929688,12107.9799041747,0,41032.3454290665,64435.8282059192,0,253633.328369387,144361.188951871,5758.1479036451,1019437.94645858,81026.9313552503,4776.1383666995,2875.2818908693,0,68283.6841239281,15192.194183351,0,73566.966693183,11288.0202636719,2686.8869174997,170453.934539789,36783.1374772492,0
5.84_343.1058m/z,343.1058216267,1,5.84,0,0,0,0,0,0,0,0,0,0,0,3715.6230468751,4875.0760260778,4386.546650164,0,0,0,0,0,0,11259.038391112,9989.2398951529,7676.2911376954,0,0,0,0,0,50181.8929732867,19900.6530151383,48798.902465821,41122.008359807,8637.3697509763,21232.3685051914,30350.2183830283,13138.5051879897,27068.4606582624
4.69_707.1894m/z,707.1894205653,1,4.6933333333,0,0,0,0,0,0,0,0,0,0,0,1301785.47380736,681947.127674173,1079660.45144637,59352.9403076215,51336.9824585544,0,0,0,0,401135.449714379,318640.869773114,377329.799119507,137226.941925056,203332.712158209,84116.611328119,0,0,0,0,0,721850.338836121,293093.183946505,0,39904.9978829295,223074.385663236,0
0.99_376.1086m/z,376.1085994306,1,0.9866666667,0,0,0,0,0,0,0,0,0,0,0,1920.8219946967,409.8186340332,0,12453.6747272149,20975.2421081159,4668.5449829107,0,0,0,10236.223688219,9273.7668709568,10109.4940112014,0,0,0,2261.9920028009,2179.3289489743,0,0,0,4326.3002319335,7471.2408447267,3839.760317737,0,2978.2716064451,0
4.47_299.0783m/z,299.0783337733,1,4.4666666667,0,0,0,0,0,0,0,0,0,0,0,34844.5364037877,8734.7669067397,25024.6127911171,0,1369.0584716798,0,0,0,0,0,0,0,12040.6371133605,5857.0673675532,10896.8583374006,35922.0619194613,40644.2598876948,16204.654157147,9248.2106532686,13170.6455148463,0,0,0,3293.1685546957,793.5158691407,0
5.85_449.1540m/z,449.1539765419,1,5.8533333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16640.008428261,15878.1289154907,11390.6079636149,6435.4606933597,5811.9114608766,5559.2520141604,0,0,0,0,0,0,0,0,187336.318298341,66844.0260314968,171562.171595668,42191.1324487736,2349.7711944582,29470.2684019821,88760.0262451153,6801.8464050295,28973.9446036262
5.07_337.0982m/z,337.0981683532,1,5.0666666667,0,0,0,0,41.3153828967,0,0,0,0,0,0,126446.208256967,39047.5577545153,117104.918090824,431400.967712391,285187.412078788,172942.89940449,0,0,0,13912.3277893059,2304.1945800782,24378.723937989,28352.4195861811,11219.3521118159,367496.171813943,0,0,0,0,0,2828.4814453129,0,0,110372.791402311,84957.953735353,6572.6091308583
0.99_135.0351m/z,135.035072617,1,0.9866666667,0,0,0,0,0,0,0,0,0,0,0,11696.6932041818,1186.0713500977,5582.540397104,3742.9644317627,2305.8032346312,635.6591186525,0,0,0,0,0,0,0,0,0,560.4409790038,1407.1438140868,18750.5341883745,5231.5594482419,10225.9669189448,0,0,0,2326.4767456056,537.3159179688,822.1434936524
8.51_309.2087m/z,309.2087125932,1,8.5066666667,0,0,0,0,0,0,0,0,0,0,0,2675.9246215823,5687.3140869138,2270.3137817383,14622.0076585889,50988.9536536673,14205.4788209329,0,760.8112487793,11242.5396118162,0,0,0,0,0,0,0,0,5583.4080810544,26940.7417808025,21313.1357412432,0,531.4369125095,0,5824.8245544426,13044.1787611584,29846.6396748231
1.00_307.1140m/z,307.1140115482,1,1,0,0,0,0,0,0,0,0,0,0,0,3573.2642211919,16998.5714515869,33806.1519052139,3600.7947262116,58061.5301334918,34079.604556907,0,0,1916.63363469,0,7957.5321631878,21186.144991721,0,0,0,0,493.7954711913,0,0,12338.6519605623,0,3500.1642705399,12359.7315218943,0,17407.273063215,1433.9611206057
4.77_379.0740m/z,379.073955114,1,4.7733333333,0,2645.7114859325,0,0,0,0,0,0,0,0,0,51333.9197696518,6165.8480834971,36976.8383686662,3506.9910583489,1144.5820922853,0,0,0,0,2106.9131774903,1032.8505859377,5007.5748291012,1137.3529052737,0,5832.4381103518,382.8995819092,0,599650.84899714,282490.180430875,496253.667721627,494.4099426271,0,0,2895503.22133551,1757301.72780754,2245090.43690296
1.15_321.0382m/z,321.0381865701,1,1.1466666667,0,0,0,0,0,0,0,0,0,0,0,459.1020660401,0,0,19670.2856750484,1606.7804260255,8018.2815229539,820.5076293947,0,0,0,0,0,18026.8459167478,0,0,3992.9696350102,5820.8111267091,24792.7642211922,27395.2119445804,93564.6103820798,0,0,0,5103.3966979985,12561.3199462899,6771.0530537974
5.57_385.1168m/z,385.1168481081,1,5.5733333333,48.2836123978,0,0,0,0,0,0,0,0,0,0,5306.3001403813,0,5458.180786133,30349.8722861694,129692.506793116,99448.038721907,0,0,0,0,0,0,10421.536013016,5468.533569335,13868.0677487184,12818.2190246567,9335.5001831055,709.1389465331,13541.1605834956,16881.3828735363,0,0,0,260696.266498409,167980.420823117,31037.3224120582
6.97_477.1009m/z,477.1008979618,1,6.9733333333,0,0,0,0,0,0,0,0,0,0,0,3953.9276569227,1573.7677612308,10681.6124572751,6049.6860961918,5671.349959486,0,0,0,0,125752.738010256,68349.3185569445,7491.4533081062,4788.0618402909,0,0,0,0,42895.254099002,1891.8201293947,37638.7321777348,11145.0565490718,0,0,1031.9098205565,0,971.3521118162
5.20_323.1034m/z,323.1033536835,1,5.2,0,0,0,0,0,0,0,0,0,0,0,40440.1318969732,20765.0725561849,39435.7974243163,0,0,0,0,0,0,0,0,0,8410.6452779094,1206.8731689454,956.3772277832,12994.8980712877,986.6790391544,891.7099304199,0,0,3781.36734707,2126.9406738282,1069.202392578,3964.9664458216,1740.469177246,0
5.27_427.1471m/z,427.1471135685,1,5.2666666667,0,0,0,0,0,0,0,0,0,0,0,357301.065860932,201258.980834962,387194.4069863,0,0,0,0,0,0,0,0,0,6300.7308807374,5546.4147338861,1752.56640625,0,16642.978515626,18311.513974537,6031.9480590824,6429.1496582034,24621.0735705158,0,29234.7666625984,7264.5444946286,4922.0614318847,7098.549804687
1.08_275.0232m/z,275.023172023,1,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8844.5704583378,2494.890258789,3778.9934082033,0,0,0,0,1575.2263793944,3089.0837097168,1338.4448852538,0,0,1381.9940185548,5473.0334836368,11023.3775024416,20652.3012190433,184886.66996212,641.4443664551,0,0,20390.6361518801,51903.7310237265,2657.3628234861
9.60_595.2963m/z,595.2963287727,1,9.6,0,0,0,0,0,0,0,0,0,0,0,950601.524464795,13286.3020629876,0,3191.123840332,4290.4787597652,0,0,42791.9963594699,0,300664.857194767,67381.5306910819,0,7089.0363159172,202171.187958201,0,11176.5655517581,0,0,1063.2567138676,0,15783.17803955,14134.210083004,0,338632.851456918,24451.7080880773,0
4.39_371.1019m/z,371.1018650722,1,4.3866666667,0,0,0,0,0,0,0,0,0,0,0,651.8360595703,0,1401.3123779298,22640.8809546726,15290.8259277339,3674.223243524,0,0,0,0,0,0,25327.8369140613,16543.2315673827,29362.360952544,574.5294494628,0,2813.7283630374,0,0,1568.8596191407,2624.3784790035,0,115721.948752636,86633.3130899884,17155.2298278811
7.00_447.2222m/z,447.2221934913,1,7,0,0,0,0,0,0,0,0,0,0,0,378462.869034748,227129.225433346,365436.420783903,40754.8214863402,34670.1299919815,1120.1301879884,0,0,0,0,8581.2822964801,0,0,0,0,0,0,154061.528076171,18858.4653320291,18222.441223145,3305.0923309325,0,2744.176422119,23000.3975830094,0,1941.1265258787
5.25_409.1178m/z,409.1177801561,1,5.2533333333,0,0,0,0,0,0,0,0,0,0,0,37666.4075545634,15202.551985235,33424.3460716503,0,0,0,0,0,0,0,0,0,0,0,0,51911.8615112339,72262.8462524448,4440632.57396938,1929263.7183194,4276377.67656346,15408.7670593269,965.425415039,3499.0167541503,239949.934034719,107634.882514954,124564.586106795
6.15_461.0778m/z,461.0778231394,1,6.1466666667,0,0,0,0,0,0,0,0,0,0,0,126569.686731484,47927.8216857901,156619.432158718,14420.4432983401,7613.2981567382,1479.4757080075,0,0,0,0,0,0,0,0,0,13861.1773071285,12118.4530944828,2485054.33093265,1472126.23577878,2079462.20102684,0,0,0,526974.538299539,287067.110351559,324672.220916743
6.16_357.1309m/z,357.1309400529,1,6.16,0,0,0,0,0,0,0,0,0,0,0,151651.128418383,117740.693581757,136762.867295162,5420.6491105835,5422.8198852544,0,0,0,846.5000835411,1185.6268834248,0,0,0,0,2640.2271728517,0,713.5872802734,12145.1199524306,2673.6879406717,1678.543395996,2785.2351074221,0,809.6141967772,2866.993835449,0,0
4.57_391.1271m/z,391.1271268512,1,4.5733333333,0,0,0,0,0,0,0,0,0,0,0,229718.409784526,49096.5544158737,384080.236389166,842.3012376667,0,0,0,0,0,0,818.3575203398,557.532438006,11193.802145599,0,0,0,0,34353.5068670215,3192.8498687749,11111.6322944676,12674.2804695627,0,771.1322387524,51104.9048515662,33911.8733735384,43894.854754836
4.63_425.1200m/z,425.1199650276,1,4.6266666667,0,0,0,0,0,0,0,0,0,0,0,81330.915666804,30996.7493743909,83280.1919860825,52611.584716605,24249.8958065467,2748.7888793948,0,0,0,0,0,0,0,0,0,0,0,2203904.60390949,779410.573039515,1852267.30620289,2525.2860717773,1004.4879760745,2481.3597412107,357233.098116581,82727.0247525525,34204.505906607
3.71_445.1022m/z,445.1021611323,1,3.7066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2132.2698974608,1500.9740600586,118604.12728882,116063.846663797,0,192993.434856212,260945.645294188,355691.670574373,1008.7755031123,5867.5586268421,0,0,0,77488.3432922322,0,14103.4790039072,2029.2300556603,14194.9379986744,2281.0751985428,0,0,1247.9472656249
6.25_353.0903m/z,353.0903058917,1,6.2533333333,0,0,0,0,0,0,0,0,0,0,0,42352.4130859396,39194.1241760259,7462.785675048,17631.7179565421,6324.1494974301,0,0,0,0,127574.708679206,141432.215773957,120211.823755849,706.6362890867,0,0,0,0,0,0,759.6882663326,1057240.98348735,597571.958885747,326136.468557429,0,2292.220123291,1339.035583496
4.05_361.1500m/z,361.1499698926,1,4.0533333333,0,0,0,0,0,0,0,0,0,0,0,876260.229592653,425425.745006891,719792.599129974,8694.8041887178,10653.968147548,2154.942429735,1171.8648071292,0,0,1872.3457946776,1165.4818725588,8635.4770152614,0,0,0,0,0,23723.696838378,17610.3240966795,0,2119.9244706863,0,0,4300.2014770511,0,9148.7884114547
5.56_377.1835m/z,377.1835289982,1,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12908.3648681638,9082.6700592048,10692.62423706,0,1152.376647949,1874.235595703,0,0,0,0,0,0,1351.7176383045,0,391664.115018266,220766.611938484,358270.388792699,4605.8388316361,375.7563749568,1910.5971710712,286986.709137968,99323.6738207943,56689.8658689286
5.87_329.1055m/z,329.1054514429,1,5.8666666667,0,0,0,0,0,0,0,0,0,0,0,1381.6627807617,903.1650390624,2316.4938696643,0,0,0,0,0,0,3404.5180664063,0,0,77874.5215148978,243832.586204331,68297.9379015976,102340.092076084,506757.716122382,8649.9804433277,1102.9956054687,2487.337982177,0,0,210.5284008962,0,0,5447.5806274413
1.03_467.1195m/z,467.1194619284,1,1.0266666667,0,0,0,0,0,0,0,0,0,0,0,1225004.85169804,878.429399153,4451.5207955286,388018.162323123,1880.1697903782,3072.3618606916,801662.477082676,0,0,1100437.3989829,0,1588.9255923085,37265.7160644533,0,0,0,2305.4192504884,0,0,0,521286.833923335,0,0,22507.2189941411,0,3692.5254211424
4.32_323.1363m/z,323.1363490558,1,4.32,0,0,0,0,0,0,0,0,0,0,0,618148.492275471,121924.301879884,459692.681604894,912.7379522521,1125.9798583986,0,0,0,0,0,0,0,1285.5892333985,0,0,69962.2167358376,83318.6819089653,2086.3504486082,0,649.6104431151,3969.4255981443,2452.2714231289,1597.4854125974,3106.5270690921,0,0
4.81_549.2191m/z,549.2191016427,1,4.8133333333,0,0,0,0,0,0,0,0,0,0,0,4525.8199812297,0,0,0,0,0,2875103.12408465,2378319.44268396,933020.197337839,0,0,0,44172.8274643015,37573.3961286152,31915.8337848624,196356.804321295,165682.918020105,0,0,0,312.4294433592,0,518.3256225584,11761.5642674309,4839.3565063474,4756.6080627441
4.97_329.0929m/z,329.0929408026,1,4.9733333333,0,0,0,0,0,0,0,0,0,0,0,5766.3509356589,2591.0344959723,4422.2051159622,1478.5883789062,670.7986450195,0,0,0,0,761.3249816894,0,0,19576.8123092953,0,0,0,0,12971.9042968742,32782.3934883968,86670.2974353818,0,0,20.6849150934,10263.8910217292,29122.2012023919,250738.763065572
0.76_394.8908m/z,394.890833686,1,0.76,38266.1811805212,46982.0950075657,24340.198608398,44563.61736621,36086.1570190004,27275.2822339658,29285.0200459632,35222.3109825268,29066.4420250647,27102.556043502,25819.0628265014,21131.8495228372,19071.0143815297,8419.9022434611,19294.1158447264,19296.8658989376,20185.8597689663,40093.2096245977,24146.2049868178,24247.7079994894,24785.6778564471,14751.0837697997,12983.0592162798,30288.2591307633,24269.9920884499,19151.7426384095,22176.0749450237,12492.922184025,24123.8655324831,22446.3914079009,17545.6824195444,24348.1797239136,19802.6260679354,10405.7763473081,23922.081355965,15779.9432642252,13555.4505004883
6.72_481.1155m/z,481.1154583286,1,6.72,0,0,0,0,0,0,0,0,0,0,0,59034.7581653475,52414.3213808566,39797.7246618896,33107.0096138224,30722.3219116828,9004.1402921223,0,0,0,754.4318847656,0,0,18780531.1861471,18745758.7614764,4801393.94234092,0,0,16745.39099121,1577.6494750976,0,10503.2917357596,0,0,6000.8728637693,0,6619.1052833926
10.92_297.2440m/z,297.243974881,1,10.92,6569.045511446,0,6875.2313481624,0,0,0,0,0,0,0,539.123413086,6700.380554199,910.6479492189,0,571.9810180664,1319.2093204657,0,29184.5634155282,33665.0385742188,16184.7028503428,0,953.3522817767,0,132677.385178571,132623.744048898,33570.1406720557,1848.4214477539,427.982711792,70093.2674591511,43832.8419786617,1800.5332031251,718.7424661028,0,0,31670.9843139642,16318.6997680656,1737.0674133301
1.04_325.0393m/z,325.0393138386,1,1.04,0,42.13228655,0,0,0,0,0,0,0,0,0,4537.8816541536,0,2515.148908129,417.8366012572,533.9100494384,1984.6077031072,0,744.9454345704,0,101337.101207126,45249.9932861325,148251.297846587,0,0,600.6671939621,0,0,0,716.39364624,12374.5002136223,0,0,621.8621333311,0,640.2263946534,3465.5936378226
9.77_595.2938m/z,595.29380669,1,9.7733333333,0,0,0,0,0,0,0,0,0,942.0048522949,0,1195495.33550725,257409.274671654,0,10628.5771789563,55589.9558044563,0,17668.0188148893,455584.482544095,0,633351.281899239,593207.893386353,0,7149.5008239755,1553374.3307451,0,30886.1626586896,0,0,26576.8331604008,0,5395.2947998051,193905.557641427,0,1248978.18427334,301886.218540515,0
3.65_530.1542m/z,530.1542197329,1,3.6533333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3480.6257408037,1521.0263098246,818.2902548972,0,1627.4831542972,2857.3129272471,565.1137695313,0,2686.7984619142,7319.3795101447,4177.7313842777,0,0,0,661598.266845724,249720.994445815,143206.129211432,0,0,0,3122199.68077035,1441409.74663724,958288.388149956
10.20_361.2014m/z,361.2014360671,1,10.2,0,0,0,0,0,0,0,0,0,0,0,9757.9773559574,4176.09173584,0,17776.7128757275,18741.3343200676,0,5455.1486816403,2073.1046142579,2980.7890014649,0,827.361236572,0,0,0,0,0,0,12888.5475449002,12953.8786010734,0,0,696.8042144775,0,3172.8018798831,6479.0332946778,4755.1100463865
5.96_631.1368m/z,631.136841934,1,5.96,0,0,0,0,0,0,0,0,0,0,0,0,19290.0823364242,0,2226.8841552734,1527.9129638674,67873.8466533395,23161.4552480808,1826.5234515634,0,7277246.2869238,6891086.78228712,6516280.92879332,885.1568298341,0,0,0,0,0,11099.5098571775,24241.4891751738,3729.5021141215,0,1829.4716186521,0,0,0
6.95_445.1906m/z,445.1905932329,1,6.9466666667,0,0,0,0,0,0,0,0,0,0,0,162961.048759537,85622.4273071263,176596.323822024,18932.7816799078,17725.076934814,5732.8460083008,0,0,0,92890.2064819321,149613.683593748,94658.765930176,0,0,0,0,0,12162.721252441,0,2996.0978698733,109269.196166995,26712.2843933126,104996.787872312,0,0,0
0.96_173.1087m/z,173.1086735635,1,0.96,0,0,0,0,0,0,0,0,0,0,0,6680.4068908687,992.0377197266,2146.362213135,908.9152428558,0,0,0,0,0,0,913.0283508301,0,1242.1381530762,4177.6020202642,2726.2987976072,1376.5898132324,433.637512207,0,0,0,6093.5005493167,6426.6033278356,13619.5273969819,0,0,0
5.81_565.1811m/z,565.1811282404,1,5.8133333333,0,0,0,0,0,0,0,0,0,0,0,137275.861608062,87145.1145079825,119525.680516092,0,0,0,0,0,0,0,0,0,41023.5422363293,2237.1604614262,4988.1035156238,78037.592155114,69633.6222612297,45982.3491386867,16532.5687169214,7143.0635375981,5837.6564314405,0,0,8309.6640319816,0,0
5.37_447.0903m/z,447.0903209849,1,5.3733333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40163.3738708523,51362.8482104354,2314.3518066404,23695.9390258805,14092.1135253911,3177.9422637248,0,0,0,0,0,0,0,5397.0291137696,18323.2050108215,3286.9726635909,12346.4118718648,0,0,0,38070.6764758636,29232.0474807842,53759.773935759
5.93_497.1517m/z,497.1516692397,1,5.9333333333,0,0,0,0,0,0,0,0,0,0,0,25300.8810424798,136121.045683295,54269.1882934552,0,0,0,0,0,0,0,0,0,144959.758031052,48027.5136718717,11926.9618988028,0,0,14986.4754333503,4930.5734558102,23528.9208984369,1909.0941162111,0,10190.6999511713,92233.0095465559,251271.057006839,259628.373107911
1.04_421.0742m/z,421.074200603,1,1.04,0,0,0,0,0,0,0,0,0,0,0,4082.0576477051,13283.6305975037,20070.1277312023,33626.9234010403,24553.6670177949,64300.3324931655,0,5552.9533786635,0,6716.5115966789,5141.8901062009,6344.2901473384,0,0,0,546.326965332,4139.6958312988,0,0,757.9687805174,0,1187.8999541355,0,0,0,0
19.60_554.7234m/z,554.7233512802,1,19.6,37643.9575060631,54376.7178186346,59476.5958738584,66788.9538145228,83908.8830885754,78237.3289977728,70176.7806575523,65882.9658101943,53720.5045896403,67999.2134689956,60629.3408115512,67930.2753850958,64946.2000596728,73971.5950271709,76751.5414170966,64727.5753609571,65365.6248575935,70880.0877857928,58914.323370306,67692.375943802,71445.3432771708,62536.4578078602,78040.1482405361,73683.246962031,62034.8184987565,74129.1016485745,57048.2210025126,77643.0053402369,78086.775088273,68460.3951056173,64591.6512902846,79739.3678336896,65714.1120168138,80546.4137347212,70559.9788978524,64726.8415086802,57363.4859451601
4.80_595.1506m/z,595.1505696706,1,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125406.478881841,92236.8231811422,55698.7204589825,4270.7929077149,0,964.5688476563,43383.8214894508,31084.3088378893,81942.497591115,0,0,0,33713.1405639657,28275.9434814462,11223.6597900394,1220.0842895508,7154.1181335456,0,0,0,0,0,0
9.84_579.2907m/z,579.2907487236,1,9.84,0,0,0,0,0,0,0,0,0,0,0,16836.6434936518,0,0,4423.9089355466,49021.0742187567,0,2437.3775634765,0,0,22336.7629319702,5308.9639892573,0,448164.090909853,163429.953219905,0,4164.8528442382,0,34721.7701972481,9148.1276245104,0,0,3318.1163330071,0,300878.313610311,17383.987854007,0
