,,,,,,,,,,,,,,,e,m,w,e,m,w,e,m,w,e,m,w,e,m,w,m,w,e,m,w,e,m,w,e,m,w
,,,,,,,,,,,,,,,8,8,8,15,15,15,26,26,26,27,27,27,36,36,36,41,41,44,44,44,59,59,59,72,72,72
Compound,m/z,Charge,Retention time (min),Blank#1_Seg1Ev1,Blank#2_Seg1Ev1,Blank#3_Seg1Ev1,Blank#4_Seg1Ev1,Blank#5_Seg1Ev1,Blank#6_Seg1Ev1,Blank#7_Seg1Ev1,Blank#8_Seg1Ev1,Blank#9_Seg1Ev1,Blank#10_Seg1Ev1,Blank#11_Seg1Ev1,cR8#1_Seg1Ev1,cR8m#1_Seg1Ev1,cR8w#1_Seg1Ev1,cR15#1_Seg1Ev1,cR15m#1_Seg1Ev1,cR15w#1_Seg1Ev1,cR26#1_Seg1Ev1,cR26m#1_Seg1Ev1,cR26w#1_Seg1Ev1,cR27#1_Seg1Ev1,cR27m#1_Seg1Ev1,cR27w#1_Seg1Ev1,cR36-2#1_Seg1Ev1,cR36-2m#1_Seg1Ev1,cR36-2w#1_Seg1Ev1,cR41m#1_Seg1Ev1,cR41w#1_Seg1Ev1,cR44#1_Seg1Ev1,cR44m#1_Seg1Ev1,cR44w#1_Seg1Ev1,cR59#1_Seg1Ev1,cR59m#1_Seg1Ev1,cR59w#1_Seg1Ev1,cR72#1_Seg1Ev1,cR72m#1_Seg1Ev1,cR72w#1_Seg1Ev1
6.43_284.0652m/z,284.0651604,1,6.426666667,1682.749207,0,8123.355225,0,2884.644348,0,0,0,2461.894913,0,0,31933.92367,31338.82523,28705.29926,34829.34792,51272.38075,35424.25977,15155.95779,26750.78879,4893.662445,0,4567.14978,2268.325104,12658.50943,3923.112549,0,105770.8205,74436.30943,19825.56252,36124.13258,53046.47351,84387.38241,49060.82373,69274.88545,8968.544128,8353.284378,12981.44086
0.89_207.9833m/z,207.9833302,1,0.893333333,0,0,0,0,0,0,0,0,0,0,0,5389.161892,3271.759857,8018.497304,3188.195267,5515.407625,653.7063293,2610.375488,2423.614563,4950.430923,4897.381855,6089.384216,7728.175772,780.0604322,542.491272,3501.693714,0,4155.861956,0,0,0,1378.134094,782.6640396,2884.230225,0,0,664.9973145
8.71_331.1872m/z,331.1872099,1,8.706666667,0,0,0,0,0,0,0,0,0,0,0,5467.878784,17031.381,4788.008759,34841.08343,86692.20959,10490.22903,5788.924438,7129.014465,1054.739807,0,0,0,3505.131957,0,0,0,1806.162552,20629.09006,35899.15912,19515.35165,5792.494598,4510.139069,4340.535743,9812.651184,11177.65945,14912.11496
0.89_307.9345m/z,307.934463,1,0.893333333,0,0,0,0,0,0,0,0,0,0,0,1633.44269,0,4163.558244,1037.088989,3336.354764,8453.290272,1239.419502,0,707.8074646,0,2807.93809,4969.171906,2306.645613,0,5358.0233,0,5250.151324,4093.77652,0,12239.5737,451.8018951,1028.588165,5089.072174,908.9077759,552.9181213,5159.108597
3.95_376.1669m/z,376.1668843,1,3.946666667,0,0,0,0,0,0,0,0,0,0,0,35801.84259,24762.90232,69985.99223,46454.05226,30462.31335,15538.9657,4914.07736,5565.706027,11380.89438,63826.23109,82370.34237,153856.8955,0,0,0,53819.48524,159815.714,0,0,0,62636.40816,0,6108.029907,5328.387777,4554.066498,40354.25251
0.89_162.0036m/z,162.0036347,1,0.893333333,0,0,0,0,0,0,0,0,0,0,0,3151.939758,1382.48938,7778.183365,4759.73909,7513.035486,5595.192352,414.6200562,0,516.1730804,4175.635239,9623.058535,13490.11717,0,0,2553.326035,1555.793365,3203.217682,0,0,755.5518188,2539.533028,2086.109032,6167.908142,0,0,4608.137146
10.63_374.1763m/z,374.1762582,1,10.62666667,0,0,0,0,0,0,0,0,0,0,0,15172.36996,21935.97416,0,1641.568868,6635.499844,0,2120.474269,733.1063538,2391.4816,0,6557.601607,0,12400.51706,33783.29409,12890.98726,0,2726.495056,24759.79277,27819.10547,0,13284.71792,5554.428103,3478.49115,30743.35437,22707.44808,19083.86064
8.11_195.1323m/z,195.1322979,1,8.106666667,0,0,0,0,0,0,0,0,0,0,0,12040.09059,3793.870461,8740.548883,26615.0282,27221.63683,6788.609772,0,0,432.6903229,0,0,0,5270.29834,4992.566986,0,4461.876328,2113.98391,15169.18468,15452.59862,11473.18899,30988.72358,45454.56978,35443.87121,30452.92156,20626.56647,7530.21936
3.93_260.1546m/z,260.1545552,1,3.933333333,0,0,0,0,0,0,0,0,0,0,0,8714.573822,1597.186508,12898.27144,2214.675709,2022.333527,0,5731.560761,0,188341.8586,13278.51086,17969.18634,31091.86533,0,0,62704.9362,13309.05722,28877.39387,0,0,39239.47518,2002.736342,0,45511.12789,14229.60221,9578.374481,13311.97133
3.71_264.1239m/z,264.123933,1,3.706666667,0,0,0,0,0,0,0,0,0,0,0,25078.59031,7458.672379,42306.90379,38459.23363,33854.72626,12805.5202,0,0,0,47869.6226,62876.90592,89426.70977,0,0,830.0413818,13358.85288,26045.67189,1214.793259,0,0,25798.73601,22563.58781,64796.29054,34511.27187,22110.21849,4455.573866
5.01_284.1548m/z,284.1547746,1,5.013333333,0,0,0,0,0,0,0,0,0,0,0,79625.78271,70166.60076,63128.76924,5863.663254,9334.783127,0,0,0,0,1299.915344,6478.358093,8180.107838,6813.228638,0,0,4163.206024,3596.29776,24367.38086,3528.311891,25271.03683,8802.332502,0,1598.301758,3832.250671,1785.749888,2704.628998
4.04_359.1875m/z,359.1875419,1,4.04,0,0,0,0,0,0,0,0,0,0,0,38745.90803,7260.851303,52977.08624,19334.51388,21993.62204,1726.777863,0,0,37059.79628,78608.73285,84371.5041,150703.8334,0,0,1165.142286,42790.91866,44348.90455,0,0,4800.928069,4452.737585,0,38124.57451,20016.26204,3873.096008,62041.81446
3.80_290.1185m/z,290.1184688,1,3.8,0,0,0,0,0,0,0,0,0,0,0,2925.822693,5196.465085,15246.29653,956.885437,4459.573981,6028.992629,0,0,1681.301788,1138.12286,6204.77702,15224.77163,0,0,316.7946167,7016.843185,19303.31214,0,25549.08444,16871.90851,910.9481812,0,18168.46393,8615.745292,0,2104.274841
3.95_271.1275m/z,271.1274839,1,3.946666667,0,0,0,0,0,0,0,0,0,0,0,2827.394722,2764.227325,4686.014908,6888.120151,2804.153478,0,1239.788727,0,5494.302185,29923.82986,7701.067457,17003.88199,0,0,0,15304.26001,27148.67458,695.1369629,0,1279.107117,35045.36892,0,4489.095428,10997.73782,720.6862793,10826.4944
6.13_449.1275m/z,449.1274944,1,6.133333333,0,0,0,0,0,0,0,0,0,0,0,36389.58337,40682.6048,24718.54648,422173.355,385393.2609,91115.77805,0,0,0,0,2102.890289,0,52101.23944,45635.58509,0,73590.83234,53314.08233,32048.28215,20357.09423,9986.202545,4458.978699,755.0304184,0,50674.43562,30446.45836,14427.71204
4.04_254.1252m/z,254.1252261,1,4.04,0,0,0,0,0,0,0,0,0,0,0,9709.365838,2660.889501,24046.31036,4916.025826,4876.852234,1631.85577,0,0,0,28475.90546,43596.56437,64845.22327,597.1512451,0,0,46609.61121,49054.03164,988.896347,0,0,9061.751785,10344.94598,29185.69162,8021.591133,2495.645844,22940.12992
4.00_306.1217m/z,306.1217244,1,4,0,0,0,0,0,0,0,0,0,0,0,4489.00769,2410.237183,20400.20602,1379.277267,1724.016663,651.4747772,0,0,0,19330.9817,9986.089691,24399.55441,0,0,32038.23795,5366.643387,32017.06583,849.1086731,0,1165.952087,490.9115802,2808.077911,4525.901367,1939.820602,0,9569.554062
5.41_282.0871m/z,282.0871003,1,5.413333333,0,0,0,0,0,0,0,0,0,0,0,4567.603813,660.3486633,4407.276626,5268.498707,878.8578033,0,0,0,0,768.8540318,1152.711945,785.790802,2862.999061,0,0,0,2708.925137,24193.32345,20173.14906,27177.69908,10334.90611,786.8669128,9312.985939,32101.87033,1736.924647,8820.154248
1.53_188.0936m/z,188.0935626,1,1.533333333,0,0,0,0,0,0,0,0,0,0,0,14874.70211,0,2979.766278,1133.824219,8704.339727,2910.156435,346.4633942,3657.744812,0,0,15308.21062,24828.0488,0,0,1150.214584,33379.40511,55652.86676,0,0,12358.09187,768.5386305,888.9084004,12227.5303,1454.385102,5258.674032,10924.40637
5.48_363.1412m/z,363.1412327,1,5.48,0,0,0,0,0,0,0,0,0,0,0,633.2982178,0,2750.294252,77039.84518,74877.38568,35753.18083,0,0,0,704.7216492,2375.42926,6999.418701,0,0,0,3829.176132,4051.936401,3274.044098,1613.638672,1171.235336,58541.50458,8433.915192,19868.21457,19669.52377,9546.393829,21206.07816
4.12_280.1439m/z,280.1439169,1,4.12,313.5280457,429.4781189,0,2473.153198,0,0,0,602.0061646,284.9796753,725.5030212,0,237456.83,114279.8333,294498.6258,65972.41208,34206.299,7155.164642,2696.596863,988.9545135,7622.180054,73579.41786,106839.3709,168816.3893,11725.86166,2135.719177,45211.25943,81586.21162,108110.2599,10819.92116,0,63225.338,12289.3755,0,51409.10945,32065.53242,8866.417661,64049.85482
8.13_307.1547m/z,307.1546791,1,8.133333333,0,0,0,0,0,0,0,0,0,0,0,71897.10101,66525.36549,85273.98248,25574.07735,37629.623,960.8776245,0,0,2998.473419,0,0,0,5822.583557,1525.181519,0,23157.03436,0,19420.86274,8785.35115,681.8918457,13139.64854,3624.075104,4344.849748,5858.902252,8938.6281,1034.730408
4.08_379.0961m/z,379.0960817,1,4.08,0,0,0,0,0,0,0,0,0,0,0,2932.441788,1034.576157,11557.44463,3970.826523,619.8944702,0,69853.6662,67455.67628,0,15792.95229,40252.58331,51920.18771,1500.844818,0,970.725708,9006.097379,17574.93929,0,0,0,116318.8257,0,29800.75339,7547.381805,3811.402313,26803.99967
8.13_213.1260m/z,213.1259888,1,8.133333333,0,0,0,0,0,0,0,0,0,0,0,16604.54446,4409.26918,9787.155731,23113.26576,10676.70477,790.6270142,395.4312592,0,0,0,0,0,3780.274536,516.9803162,0,28671.04484,4335.308441,4254.729507,4287.424805,0,104935.5403,88365.28062,91310.68071,13293.22302,10909.90884,9436.368652
6.07_315.1263m/z,315.1262801,1,6.066666667,0,0,0,0,0,0,0,0,0,0,0,10487.46259,1886.47171,9014.726776,18767.00517,14083.18887,739.2615051,0,0,0,0,0,0,89622.13807,56049.61397,37007.71057,53328.23678,56490.67755,5746.552529,2780.920166,11074.95237,6037.640762,1590.434204,794.0649567,1961.468018,0,2877.163513
2.39_258.1295m/z,258.1295134,1,2.386666667,0,0,0,0,0,0,0,0,0,0,0,34552.37399,10258.76018,54877.48411,58418.83005,110758.9806,44199.50895,0,0,1342.967224,83044.88912,163820.7356,262627.8046,0,0,0,28157.78855,41688.31377,286.1213379,0,4372.399955,1914.361786,0,52737.43176,132694.7741,185773.1805,195875.1017
5.84_503.1992m/z,503.1992487,1,5.84,0,0,0,0,0,0,0,0,0,0,0,41482.31,35818.30117,31959.00159,0,0,6124.45058,0,0,17840.10915,0,1111.872192,1775.110168,10430.35345,67149.28778,4149.427963,1400.150314,209.1192715,30040.03781,12904.23353,14123.56496,1469.542847,1422.672287,0,43311.46138,22207.32407,0
1.41_268.1201m/z,268.1201261,1,1.413333333,0,0,0,0,0,0,0,0,0,0,0,120413.7668,82290.71973,294802.3835,1387.600342,960.2612152,0,0,0,0,13618.52713,5802.791351,19739.06763,1102.611882,0,0,9853.192612,25078.60771,2248.338063,0,985.3862152,4285.684753,1819.244507,1242.892685,4203.237622,3937.242584,11529.24876
1.27_124.0414m/z,124.0414468,1,1.266666667,0,0,0,0,0,0,0,0,0,0,0,800.9345093,0,1809.621773,5378.258896,326.5904541,2955.074516,5872.833862,0,9643.901993,298.8418732,376.6403351,0,16619.54582,4039.415253,6385.049973,0,0,4002.434326,328.5335388,4649.752396,777.0372925,0,2676.865509,34952.04503,16225.29875,43956.76049
6.00_399.1444m/z,399.144448,1,6,0,0,0,0,0,0,0,0,0,0,0,4330.785126,6283.302348,3287.446854,2871.507461,4956.740479,1832.195273,1164.171021,0,9412.993317,0,0,0,251146.0038,243519.8669,16307.83531,0,0,18597.09467,3510.227417,31654.78811,573.7267151,657.7253723,0,1497.831589,1340.330336,2080.258759
3.65_375.1866m/z,375.1866415,1,3.653333333,0,0,0,0,0,0,0,0,0,0,0,20902.02645,16791.96468,112450.0645,54811.82259,0,0,1248.550476,4129.685645,240678.6409,21668.93835,7743.669205,27303.2175,0,0,3642.077545,6417.807718,25653.30538,226.367041,0,1106.409241,0,0,4267.014577,21139.44703,329.2122604,28275.67914
12.71_337.1716m/z,337.171628,1,12.70666667,0,0,0,0,0,0,0,603.6156311,0,0,0,22194.24922,15360.82943,0,0,6846.084066,0,23001.12027,33271.39532,0,3282.585602,403.7542114,0,11372.80433,56612.91154,41726.35297,21865.33394,0,11149.51992,14547.10482,1461.551117,11173.49152,7065.828461,2357.877925,8883.505168,21242.30365,3019.112671
9.96_293.1983m/z,293.1983491,1,9.96,0,0,0,0,0,0,0,0,0,0,0,104606.2584,82986.11236,31068.02472,64580.39102,79458.35518,0,0,0,1058272.354,0,0,0,3939.11265,4644.637604,3713.929993,3563.219531,1882.344391,23479.01578,8805.966858,2298.622101,22988.78099,11211.9081,3124.189209,1721.763489,570.9135742,1840.783478
1.08_458.1856m/z,458.1855671,1,1.08,0,0,0,0,0,0,0,0,0,0,0,0,4550.258072,0,2044.971842,12221.96909,764.2975464,710.96521,4492.359608,0,17400.02283,13744.42563,13353.53387,0,3753.384262,0,71117.7184,90279.12628,765.9305455,0,493.6652454,124119.4141,49961.54529,70877.02821,838.8574501,19199.43558,0
1.37_152.0565m/z,152.0565212,1,1.373333333,0,0,0,0,0,0,0,0,0,0,0,302.8538361,0,723.4386292,1277.895881,533.32901,7013.866039,693.9849243,0,15084.31055,0,286.1732788,21844.79903,0,0,20665.05782,20088.37895,28765.98015,2160.476354,1358.933197,56669.53715,3223.683238,0,65661.55254,3794.880738,0,52926.39575
5.20_207.1292m/z,207.1292004,1,5.2,0,0,0,0,0,0,0,0,0,0,0,1654.192352,0,578.8432617,229511.2213,192830.8432,118307.9362,12616.5683,3578.07254,2418.607117,0,528.6986389,1071.962029,0,0,0,34038.41066,33106.00186,59684.28004,60635.39308,52057.42151,1320.448929,0,0,62868.35223,42239.75749,56587.28237
14.09_310.3066m/z,310.3065972,1,14.09333333,54789.90855,35538.10425,58256.87886,67043.4345,66716.39933,53517.13832,91705.72101,90073.56901,88508.00681,93235.20641,92361.74897,90495.40808,8397.53018,13584.63151,20531.87239,9828.20447,8390.698303,4696.457185,25164.30829,6315.871934,7393.999603,9177.641197,9462.883881,129210.8504,27361.26814,15561.21732,13659.46886,4370.768305,46071.68631,8333.432502,8203.55014,30308.64376,10530.54493,10320.14319,35307.99999,24086.53202,7465.167572
0.99_194.1172m/z,194.1171875,1,0.986666667,9061.13278,6095.329666,7333.298584,9475.820241,12042.53475,10439.26692,12178.12775,15220.30143,9705.514771,12866.56134,13164.36916,778.20047,0,712.2652283,725.6639709,0,758.1154938,0,0,0,0,0,0,0,0,328.7387085,947.4812618,2540.447476,1881.015901,4371.947672,1085.613126,874.5067749,0,2497.504615,0,1140.389066,0
5.60_204.0854m/z,204.0854139,1,5.6,0,0,0,0,0,0,0,0,0,0,0,94465.5849,40876.45569,99162.32947,1691.134644,2927.046021,0,0,0,0,0,364.4538116,370.6010895,1796.322189,393.9746704,508.1971283,3604.390597,1908.835517,4189.766739,477.4852448,0,2710.183682,1631.357743,1852.820984,1464.890747,1649.344921,4000.715822
6.29_441.1853m/z,441.1852755,1,6.293333333,0,0,0,0,0,0,0,0,0,0,0,2146.276093,0,2873.693756,17429.75986,12261.24535,0,41115.37653,799.3396912,0,0,0,4521.202271,1041.632385,24413.0056,0,3170.55127,2027.862381,4669.010651,10249.62872,4611.185608,1597.698761,0,3712.572021,232746.8804,678393.7937,698089.5357
5.81_329.1236m/z,329.1235857,1,5.813333333,0,0,0,0,0,0,0,0,0,0,0,9326.125707,3879.467346,9329.959862,1235.713242,813.6522827,0,1323.756287,0,0,620.4422913,0,0,33540.32719,338359.7623,73544.73189,1621.555939,1355.435211,10712.26755,1586.010971,12508.91212,7762.092377,593.2266541,433.2351227,0,0,815.8378906
5.72_313.0824m/z,313.082433,1,5.72,0,0,0,0,0,0,0,0,0,0,0,17598.42711,6881.358861,19717.34527,0,706.8713379,0,0,0,0,3595.108432,0,2142.677586,82369.80875,643950.4097,407175.7381,943.1585388,868.6115417,18029.732,4017.581044,13841.02303,2138.485123,460.1987942,2570.446914,626.4205627,0,5340.258698
4.91_247.1153m/z,247.1152942,1,4.906666667,0,0,0,0,0,0,0,0,0,0,0,352428.6108,234594.0474,332901.9944,9840.943621,12880.69383,2786.422992,0,0,0,5967.948988,0,401.8624268,2191.606545,0,0,978.7135719,1494.370939,704.0318909,0,538.1376649,3292.29934,2498.688576,1307.947906,1638.361429,1603.08501,10812.5812
5.29_310.1558m/z,310.1557534,1,5.293333333,0,0,20570.90215,0,0,0,0,0,0,0,0,58690.77954,21000.55426,39110.12391,7716.690183,1916.783264,546.302124,0,0,0,0,578.4073792,1632.67923,31720.04226,68770.12457,0,8206.423751,4908.927835,5104.507205,703.6598716,3320.960213,29652.81046,3958.659332,5701.723816,17137.33337,10138.59525,9779.359894
4.81_311.1602m/z,311.1601991,1,4.813333333,0,0,24731.75551,0,0,0,0,0,0,0,0,134022.1,18950.55638,50539.30453,24889.80214,2119.115433,0,0,0,1184.646332,456619.5333,7905.084599,6036.707024,24513.46355,0,525.8445261,2029.135973,9633.338413,8766.102858,0,2933.19115,180607.2466,1884.526764,5656.556808,16597.10109,4951.117628,12091.67342
6.72_269.0837m/z,269.0836697,1,6.72,0,0,0,0,0,0,0,0,0,0,0,15203.32748,1715.315887,6913.550517,36059.36731,23838.55533,0,0,1464.332031,0,0,0,971.0946045,33452.31416,17724.12728,7935.2621,879369.1545,635186.0009,5322.047482,0,0,22280.22467,620.490387,3457.379859,138719.3022,300.4304047,5157.77124
6.55_273.0747m/z,273.0747327,1,6.546666667,0,0,0,0,0,0,0,0,0,0,0,3828.237305,332.2895355,96.70197849,13502.88983,12443.98371,0,0,0,0,97378.24532,0,1007.292938,5626.115784,2156.97699,0,139725.7772,104599.9828,1079.547882,673.2878113,651.2640381,1622.951569,359.7760696,590.1471558,2420.984109,0,1892.769838
0.84_341.9428m/z,341.9427805,1,0.84,0,0,0,0,0,0,0,0,0,0,0,818.1214294,1069.783752,6714.475942,722.5058206,0,0,1588.365662,0,0,1333.122132,2094.888641,1416.044113,1670.518372,0,3426.426376,977.790802,374.0518646,0,440.1752472,1191.684082,880.2293091,0,7032.754608,854.1696777,696.6742249,0
1.56_217.0785m/z,217.0784762,1,1.56,0,0,0,658.7108765,0,0,0,0,556.2007446,0,0,37897.47162,19430.86635,26908.79951,29203.842,129994.1392,106530.6182,1876.000396,0,0,929.1221466,2275.741165,1069.363525,0,0,17317.90323,12248.18129,20255.03208,2280.779287,0,6308.643239,1500.626687,3148.082199,4244.579075,2476.234228,1396.871977,6784.562927
0.87_143.9957m/z,143.9956841,1,0.866666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1768.32394,2257.331616,2166.870453,9646.848602,0,0,1823.516602,0,0,1786.008347,867.0179749,0,4100.286133,252.2077789,4184.612145,9929.874243,6362.055386,14376.33855,1578.771148,0,3180.400717,4017.914167,1194.25647,5069.177881
5.00_425.1428m/z,425.1428005,1,5,0,0,0,0,0,0,0,0,0,0,0,0,3257.892631,0,6986.801239,2623.949158,4229.983736,0,0,0,0,1766.957397,5773.948244,0,27694.11066,1181.777588,1619.336761,2214.933864,15277.18895,6174.27887,4505.151077,5906.05896,0,1076.492755,6824.013977,11908.37729,503.6933441
1.37_219.9937m/z,219.9937471,1,1.373333333,0,0,0,0,0,0,0,0,0,0,0,818.5158683,933.8192749,3388.077933,1861.431467,1754.232718,6010.982635,0,10064.00499,13317.53508,0,0,0,1777.278107,877.911735,15367.51607,1416.798859,2072.3685,0,0,7657.400687,0,4362.299216,0,445.7402061,755.1039734,837.8896678
1.84_202.1728m/z,202.1728212,1,1.84,0,0,0,0,0,0,0,0,0,0,0,0,25584.9014,19377.86197,1149.94632,6368.525562,28717.64636,0,0,9447.581512,1503.771225,33153.37327,11995.4283,0,9894.046249,0,369.0088806,2356.970757,0,16310.89194,18018.11456,11881.0298,0,31527.7192,0,7559.171402,18548.80923
4.01_247.1151m/z,247.115092,1,4.013333333,0,0,0,0,0,0,0,0,0,0,0,4370.981091,0,2337.651215,20530.99667,1433.325012,1396.024874,0,0,25905.55756,4332.087067,7996.823465,17612.28436,0,0,83435.7922,5500.53279,5443.087063,0,0,12378.13028,4048.72583,0,4572.648636,6685.47508,610.5694931,29824.59367
3.87_224.1203m/z,224.1202999,1,3.866666667,0,915.8481943,2665.643163,2935.084415,4590.568659,7341.796333,11719.50903,7069.584911,2735.61794,5433.779378,12633.16591,429075.1177,22730.14064,37394.88841,33630.64183,45539.58326,22943.14947,8444.691711,24352.93462,13488.54039,33933.98666,50566.86722,42913.5541,32458.65568,26905.23079,30868.97207,27599.84347,32402.39009,14886.18211,15710.95619,31625.09409,37354.92022,32740.4466,44916.30304,22266.65577,31865.23514,30265.77492
4.61_387.1673m/z,387.1673302,1,4.613333333,0,0,0,0,0,0,0,0,0,0,0,57591.44365,7136.065475,25067.60027,7464.627243,6764.041046,5569.558451,0,0,0,20910.09023,33739.01968,69479.83123,0,2609.402283,0,2398.440338,4446.55821,102300.9451,139232.8842,80980.88485,1168.177698,0,0,10270.94886,10428.35152,12781.64747
5.16_389.1994m/z,389.1994477,1,5.16,0,0,0,0,0,0,0,0,0,0,0,18352.04899,21301.05563,24674.8468,2299.462036,457.8334351,0,0,0,0,31126.62602,23275.44165,48834.47732,0,0,0,2882.057999,7482.879456,2455.779967,1267.459198,2146.782074,5488.828712,0,25429.31281,12893.36055,4770.459037,4603.624268
3.81_248.1186m/z,248.1186048,1,3.813333333,0,0,0,0,0,0,0,0,0,0,0,54319.16882,31938.12341,76406.01738,6678.55769,11145.06137,0,0,850.9131775,954.7655334,7144.388367,12183.98386,16017.40672,0,0,2186.323807,14878.51255,26529.28193,0,0,4009.319916,1855.267517,0,20876.19281,6170.329646,0,1550.876335
4.71_135.0436m/z,135.0436076,1,4.706666667,0,0,0,0,0,0,0,0,0,0,0,19071.27151,15648.17808,17536.89851,4303.732262,1914.989105,635.3787231,0,0,0,14589.18709,16814.75693,16215.41553,5461.5224,7160.251323,488.3371124,0,0,2669.720643,0,1519.201814,19220.05227,11809.29553,0,778.8695755,13274.8363,2561.802866
1.36_203.1046m/z,203.1045893,1,1.36,0,0,0,0,0,0,0,0,0,0,0,6422.418388,0,726.537735,2735.497437,0,0,4458.819049,0,4789.583313,7752.501876,562.1165009,2341.984146,0,0,38274.09964,1813.465042,5076.580399,5255.942963,0,8795.741219,1244.799622,0,331.4497223,18997.28099,1166.27179,3002.469589
0.92_218.0371m/z,218.0370708,1,0.92,0,0,0,0,0,0,0,0,0,0,0,7162.796887,4117.380646,7926.435913,31837.51692,33553.64267,20053.47514,0,0,0,1376.876413,2563.985901,1431.291351,0,0,474.232239,3685.653076,11201.97528,649.739874,755.9213562,3252.300299,1840.950592,3632.566959,2679.626526,0,0,0
4.12_404.1726m/z,404.1725693,1,4.12,0,0,0,0,0,0,0,0,0,0,0,101274.9327,55832.88001,162113.9843,21219.89461,34849.91339,10261.7572,0,0,990.3825378,2824.350912,3248.838882,11989.72695,0,0,0,5532.022751,6385.043958,3340.860962,0,2401.03186,0,0,2325.135178,22435.88293,27501.613,15979.38895
5.89_307.0914m/z,307.0913989,1,5.893333333,0,0,0,0,0,0,0,0,0,0,0,27014.56847,38934.27689,31418.79355,4679.521808,2265.257813,8656.242493,2613.327789,1889.830994,0,0,0,510.3106995,940.2562561,10551.86075,0,0,0,19625.95391,10603.01506,6139.466309,8863.225895,3548.098145,1554.487122,2478.747375,0,0
5.79_218.1392m/z,218.1391923,1,5.786666667,0,0,0,0,0,0,0,0,0,0,0,14925.48142,5316.763214,9408.864438,3541.072113,949.6867371,1820.431535,0,0,0,813.3379517,0,0,0,0,0,960.1243286,1753.853374,19435.16898,5741.644424,8311.074027,4565.021497,378.8213501,907.6468201,2206.907623,2628.366028,64382.71398
4.37_403.1313m/z,403.1312638,1,4.373333333,0,0,0,0,0,0,0,0,0,0,0,51126.74865,43071.40085,49822.80678,16109.02709,0,0,0,0,1183.945313,2962.973855,1289.418243,7078.629237,0,0,0,1802.892661,5771.396875,3992.059875,17734.17352,8349.70459,384.4736328,0,21418.91908,6457.202713,7999.787659,8870.540423
1.97_269.1547m/z,269.1546501,1,1.973333333,0,0,0,0,0,0,0,0,0,0,0,29893.24134,8376.725388,43477.5714,2681.852768,3444.748657,3327.759717,0,0,185817.2985,28660.45567,82683.01002,130030.4528,46242.65198,0,25780.33969,9419.458117,16635.96196,0,0,4057.144592,0,0,37011.86712,860.5820618,0,1585.665303
5.28_416.1889m/z,416.1889175,1,5.28,0,0,0,0,0,0,0,0,0,0,0,12159.49867,8094.897827,18828.54744,22142.62587,16599.85754,1429.958069,0,0,0,1012.895813,4824.741191,8607.374176,49695.83122,778.3604202,0,51332.81175,62355.95097,914.1574097,0,0,2892.238586,0,22515.86479,4772.103027,0,22501.79012
4.47_361.1655m/z,361.1655173,1,4.466666667,0,0,0,0,0,0,0,0,0,0,0,166946.6132,83238.43463,224784.6021,83564.36347,26071.60693,12000.30841,0,0,0,12511.74101,9224.315277,22051.62296,0,0,680.7027588,2468.180145,10300.58799,0,0,1685.179047,2208.45845,0,3628.959518,8893.088394,7137.991348,15229.89235
1.69_299.0818m/z,299.0817897,1,1.693333333,0,0,0,0,0,0,0,0,0,0,0,8774.886032,744.0557861,4677.516106,1732.839729,0,0,898.5896912,0,19325.5397,538.6967468,17525.33981,40240.97121,0,0,17973.62222,1582.183075,4685.258015,883.0455322,0,1245.210876,1818.511185,0,5598.148633,0,303.8707733,7566.887891
7.37_323.1307m/z,323.1307231,1,7.373333333,0,0,0,0,0,0,0,0,0,0,0,60798.58877,26375.99126,36775.80686,14051.02182,16218.11911,0,511.8360291,0,0,0,0,0,99241.4746,23641.27945,0,666.2876587,0,27773.24918,6229.088776,1846.80838,48445.72809,5413.586073,2104.483002,8614.167356,1231.044281,3404.250183
4.71_352.1662m/z,352.166238,1,4.706666667,0,0,0,0,0,0,0,0,0,0,0,35597.62111,2231.062515,14375.59641,254.9812622,0,0,0,0,9669.035948,10981.83444,14352.24263,35086.21681,0,0,9277.418732,1849.097382,3776.140152,0,0,1241.598222,7791.740891,481.2445679,30635.70016,6732.00267,1363.485001,51891.75489
12.25_263.2337m/z,263.2337316,1,12.25333333,0,0,0,0,0,0,0,0,0,0,0,331525.4625,22011.05107,0,52766.16954,28837.28397,0,199286.0303,69339.10714,0,3521.762118,1528.483948,0,1398720.574,809267.8586,41702.83084,31111.30264,0,23786.34926,0,0,162738.1667,21868.78873,0,639591.8025,22064.72114,25816.26443
6.68_435.1088m/z,435.1088422,1,6.68,0,0,0,0,0,0,0,0,0,0,0,5521.017937,0,1698.947256,52773.32531,15601.49218,0,0,0,0,24238.7778,17779.38,9970.174713,130270.8446,121150.6217,0,6972.661499,679.316803,3147.991058,0,1652.051208,3570.237386,1450.19725,0,2231.60502,896.524292,2440.07663
5.25_469.1362m/z,469.1362234,1,5.253333333,0,0,0,0,0,0,0,0,0,0,0,2594.519928,2496.43576,1586.820542,0,279.5100704,4182.750765,0,0,0,0,868.288208,597.4781799,17384.30725,88987.133,49113.57432,1688.477142,1541.236855,1519.033325,1433.915466,1629.127625,0,762.2085266,3222.038874,0,0,638.1029968
