,,,,,,,,,,,,,,,e,m,w,e,m,w,e,m,w,e,m,w,e,m,w,m,w,e,m,w,e,m,w,e,m,w
,,,,,,,,,,,,,,,8,8,8,15,15,15,26,26,26,27,27,27,36,36,36,41,41,44,44,44,59,59,59,72,72,72
Compound,m/z,Charge,Retention time (min),Blank#1_Seg1Ev1,Blank#2_Seg1Ev1,Blank#3_Seg1Ev1,Blank#4_Seg1Ev1,Blank#5_Seg1Ev1,Blank#6_Seg1Ev1,Blank#7_Seg1Ev1,Blank#8_Seg1Ev1,Blank#9_Seg1Ev1,Blank#10_Seg1Ev1,Blank#11_Seg1Ev1,cR8#1_Seg1Ev1,cR8m#1_Seg1Ev1,cR8w#1_Seg1Ev1,cR15#1_Seg1Ev1,cR15m#1_Seg1Ev1,cR15w#1_Seg1Ev1,cR26#1_Seg1Ev1,cR26m#1_Seg1Ev1,cR26w#1_Seg1Ev1,cR27#1_Seg1Ev1,cR27m#1_Seg1Ev1,cR27w#1_Seg1Ev1,cR36-2#1_Seg1Ev1,cR36-2m#1_Seg1Ev1,cR36-2w#1_Seg1Ev1,cR41m#1_Seg1Ev1,cR41w#1_Seg1Ev1,cR44#1_Seg1Ev1,cR44m#1_Seg1Ev1,cR44w#1_Seg1Ev1,cR59#1_Seg1Ev1,cR59m#1_Seg1Ev1,cR59w#1_Seg1Ev1,cR72#1_Seg1Ev1,cR72m#1_Seg1Ev1,cR72w#1_Seg1Ev1
4.25_205.0960m/z,205.0960004,1,4.253333333,0,0,0,0,0,0,0,0,0,0,0,115066.8364,52995.50763,103214.4834,298251.2135,318883.6706,153486.5261,306528.3206,284087.033,467346.5858,45625.20427,52284.16256,64382.34433,529713.1905,688431.8922,789604.4775,138057.0853,127645.8656,118366.6775,58823.67821,163047.4174,727366.085,495282.4465,699077.3665,209496.9939,188659.7306,293906.6758
1.32_305.1332m/z,305.1331581,1,1.32,0,0,11628.61641,0,0,0,0,0,0,0,0,58275.52962,59276.94919,124941.4196,93056.80202,145572.8993,142374.0331,64864.7907,48858.34019,126694.79,158604.4539,96809.10099,175407.8644,4441.699631,1916.637253,12761.55411,221684.948,228242.7318,106084.5847,37207.78152,66433.88282,108160.8031,94447.13843,105548.957,57444.39965,85567.40194,120506.9611
0.89_270.9620m/z,270.9620441,1,0.893333333,0,0,0,0,0,0,0,0,0,0,0,17388.16705,9950.717619,12400.36337,18716.99711,18593.39881,13419.18106,9062.816685,3802.863302,12403.46726,8672.461731,16040.44388,23959.423,7471.699846,3922.040716,16853.79262,13011.45157,18629.02896,5659.729088,4867.294337,3503.338928,10960.23531,14105.90911,10967.92499,5568.319824,6550.230561,6839.668918
1.04_309.1236m/z,309.1235766,1,1.04,0,0,0,0,0,0,0,0,0,0,0,75396.01174,354974.4615,413573.8104,60955.62397,403865.1639,399858.0334,23046.37729,28150.10328,22933.19915,3286.258484,79224.27979,85190.98667,9861.674271,1157.657532,8665.054865,15857.86722,21408.86367,16934.84683,31387.38514,43665.62644,1559.605957,69659.47316,70639.04871,36460.10267,175517.1169,193368.2803
1.33_291.1226m/z,291.1225695,1,1.333333333,0,0,0,0,0,0,0,0,0,0,0,334112.6217,353320.3585,649752.8086,90846.09109,222288.3499,228765.8583,16351.97771,24808.97443,80970.97476,475864.0648,638625.181,711724.2254,83127.95596,112143.4867,167864.9505,156046.7523,218336.5259,72563.76868,47560.46668,108626.5758,323639.3953,371886.5767,515859.411,219097.8167,264255.735,352912.7764
1.04_362.0989m/z,362.0989331,1,1.04,0,0,0,0,0,0,0,0,0,0,0,70703.96222,112071.3617,157092.0651,21289.15552,27860.93892,98606.21881,90153.16067,32449.18329,192960.2532,48791.26019,69629.54184,60105.21734,50907.22587,41418.71394,86972.86199,79137.39393,133548.8816,183977.5936,95740.14521,188770.8318,175471.0416,124301.4612,148393.8188,56671.34412,60230.73906,155246.5901
2.04_132.1034m/z,132.1033541,1,2.04,0,0,0,0,0,0,0,0,0,0,0,102197.28,46571.20135,109521.2722,149983.7011,162642.5178,68993.98708,32884.41978,45046.25787,510640.7828,381991.2621,334641.4786,304627.5253,65512.30601,61768.70965,277772.9202,101442.6466,117807.5332,85375.17269,49542.76276,163367.2411,73287.67437,32552.41654,103550.3354,413046.996,314357.397,493007.2648
1.75_307.0859m/z,307.0859029,1,1.746666667,0,0,0,0,0,0,0,0,0,0,0,45222.24969,34863.30251,251470.8429,24671.20506,117005.0041,178539.3745,21364.02709,492933.7935,311414.165,4290.7686,32927.80579,74047.26345,18488.95445,272257.167,492369.2407,33463.11197,62775.37409,23267.21334,11680.6346,60528.53217,21691.46466,171323.2916,335326.0361,12214.05228,173465.6542,914722.9834
0.96_296.0795m/z,296.0794965,1,0.96,0,0,0,0,0,0,0,0,0,0,0,27771.71923,103947.6631,37667.01531,27091.89448,112962.0057,139056.1803,15299.39676,136288.3112,20504.47729,10709.57883,27216.89655,33080.9528,30489.92741,99774.98215,1864.349228,57174.96601,36248.86686,44296.11071,34611.69616,78666.46554,35680.23828,40288.97188,14393.39592,11556.20586,85013.43649,18703.35842
0.97_156.0525m/z,156.0524802,1,0.973333333,0,0,0,0,0,0,0,0,0,0,0,448.0707397,480.5029907,2496.024307,7871.888,8272.443176,10353.62573,457.147583,2873.765545,15809.53476,6104.33165,11485.51331,17643.23415,2604.373779,10653.70602,15508.46065,5330.021179,8214.08362,8603.208922,16751.62117,30883.94055,5492.040692,9337.74851,7087.936752,2240.400513,3045.693069,4516.545944
0.95_213.0721m/z,213.0720868,1,0.946666667,0,0,0,0,0,0,0,0,0,581.6289917,0,83050.18615,54832.75373,144325.6578,14368.81686,12914.37121,14442.55772,712.8575368,5091.039987,49035.41554,17909.01212,23300.7389,30258.3264,37186.24393,38838.27267,114438.2747,57650.9344,77775.26019,311.5928864,172.5965067,6745.734252,135862.6777,96805.98051,184624.0054,17249.69781,13710.2486,25066.85616
1.77_165.0554m/z,165.0553945,1,1.773333333,0,0,0,0,0,0,0,0,0,0,0,12884.1122,2088.28091,23376.15343,4523.251157,24966.18303,9880.413666,1191.329132,7429.464917,69278.12972,8204.050147,32100.44285,67553.25355,6106.946701,26164.91878,59148.56135,9577.667918,12443.33425,1256.486481,763.2700806,13518.70182,17249.83693,30857.32511,94481.83307,18082.85664,33474.15519,70036.45137
0.96_221.0339m/z,221.0339317,1,0.96,0,0,0,0,317.8227573,0,0,0,0,0,0,165111.783,45427.58021,114562.7254,163364.5841,163867.4376,121109.6141,90206.73594,40413.48512,65034.17348,16927.31885,16466.88409,19576.20923,101033.8724,44868.14113,76073.28426,31706.54055,44719.17611,350223.2411,301279.0572,389057.9302,17076.54402,7327.971832,19150.78525,326073.2831,246713.0671,232835.8032
0.96_249.0401m/z,249.0400619,1,0.96,0,0,0,0,0,0,0,0,0,0,0,79126.65519,37443.80847,43254.55141,124089.5885,95609.25168,71688.28002,87985.73582,28183.86183,25785.87578,41390.18148,28335.80938,26521.35568,47763.20399,17399.11028,25685.26937,30470.02018,24647.4247,60676.06426,48695.40036,28880.47503,25863.13605,27200.78407,22020.05193,64878.965,57691.56903,26379.3687
4.56_379.1803m/z,379.1803334,1,4.56,0,0,0,0,0,0,0,0,0,0,0,186695.3122,111394.1764,174438.7792,51801.53272,134647.8909,91260.11607,3417.221344,28589.00691,44940.03595,150366.0715,363559.5846,482895.8649,34348.73758,74488.40007,29211.65257,88236.98216,105490.0681,24908.18732,14840.25383,29385.55437,1510707.519,252057.2288,510338.0755,433713.445,417297.5752,657059.5692
0.96_219.0217m/z,219.0217203,1,0.96,0,0,0,0,0,0,0,0,0,0,0,819933.8911,123478.2475,237803.2778,905977.022,730583.4861,658981.1459,409016.7819,44830.06291,235217.0839,297299.9403,248239.5764,267576.8303,283045.7839,20240.22365,146410.8869,156337.5763,252469.4615,398205.2142,151497.8802,265540.8424,173031.9791,86894.99612,145279.0435,411442.3513,204365.5371,310798.9708
0.99_175.1166m/z,175.1166112,1,0.986666667,0,0,0,0,0,0,0,0,0,0,0,407024.437,409758.7345,570075.8908,101244.4933,92767.69915,94686.27035,13308.11077,41857.75872,335470.8945,1821790.651,1656525.04,1867238.653,496873.2608,749808.097,1062856.804,327767.9962,369975.3506,7917.991675,16264.25474,34557.09527,1923187.076,1837785.865,2098639.552,132313.1405,97791.02799,162681.4377
1.41_136.0630m/z,136.0630233,1,1.413333333,0,0,0,0,0,0,0,0,0,0,0,138283.4155,6965.705307,20536.37437,78738.49214,35193.76954,24730.81793,104389.0749,13639.27847,33880.56787,94626.11844,111179.7573,115139.8172,172471.6554,54528.64539,240173.9013,64151.87545,61927.68086,88420.68337,23015.1412,106521.3312,63983.36807,15940.52751,153983.6542,99285.2213,4559.858749,152223.4543
