,,,,Raw abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Blank,,,,,,,,,,,,,,,,,,,,,,,Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,m/z,Charge,Retention time (min),Blank_H2O#1_Seg1Ev2,Blank_H2O#2_Seg1Ev2,Blank_H2O#3_Seg1Ev2,Blank_H2O#4_Seg1Ev2,Blank_H2O#6_Seg1Ev2,Blank_H2O#7_Seg1Ev2,Blank_H2O#8_Seg1Ev2,Blank_H2O#9_Seg1Ev2,Blank_H2O#10_Seg1Ev2,Blank_H2O#11_Seg1Ev2,Blank_H2O#12_Seg1Ev2,Blank_H2O#13_Seg1Ev2,Blank_H2O#14_Seg1Ev2,Blank_H2O#15_Seg1Ev2,Blank_H2O#16_Seg1Ev2,Blank_H2O#17_Seg1Ev2,Blank_H2O#18_Seg1Ev2,Blank_H2O#19_Seg1Ev2,Blank_H2O#20_Seg1Ev2,Blank_H2O#21_Seg1Ev2,Blank_H2O#22_Seg1Ev2,Blank_H2O#23_Seg1Ev2,Blank_H2O#24_Seg1Ev2,1r#1_Seg1Ev2,1r#2_Seg1Ev2,1r#3_Seg1Ev2,1r#4_Seg1Ev2,1r#5_Seg1Ev2,3r#1_Seg1Ev2,3r#2_Seg1Ev2,3r#3_Seg1Ev2,3r#4_Seg1Ev2,3r#5_Seg1Ev2,4r#1_Seg1Ev2,4r#2_Seg1Ev2,4r#3_Seg1Ev2,4r#4_Seg1Ev2,4r#5_Seg1Ev2,5#1_Seg1Ev2,5#4_Seg1Ev2,5r#2_Seg1Ev2,5r#3_Seg1Ev2,5r#5_Seg1Ev2,7r#1_Seg1Ev2,7r#2_Seg1Ev2,7r#3_Seg1Ev2,7r#4_Seg1Ev2,7r#5_Seg1Ev2,8r#1_Seg1Ev2,8r#2_Seg1Ev2,8r#3_Seg1Ev2,8r#4_Seg1Ev2,8r#5_Seg1Ev2,10r#1_Seg1Ev2,10r#2_Seg1Ev2,10r#3_Seg1Ev2,10r#4_Seg1Ev2,10r#5_Seg1Ev2,11r#1_Seg1Ev2,11r#2_Seg1Ev2,11r#3_Seg1Ev2,11r#4_Seg1Ev2,11r#5_Seg1Ev2,13r#1_Seg1Ev2,13r#2_Seg1Ev2,13r#3_Seg1Ev2,13r#4_Seg1Ev2,13r#5_Seg1Ev2,15r#1_Seg1Ev2,15r#2_Seg1Ev2,15r#3_Seg1Ev2,15r#4_Seg1Ev2,15r#5_Seg1Ev2,16#3_Seg1Ev2,16r#1_Seg1Ev2,16r#2_Seg1Ev2,16r#4_Seg1Ev2,16r#5_Seg1Ev2,17r#1_Seg1Ev2,17r#2_Seg1Ev2,17r#3_Seg1Ev2,17r#4_Seg1Ev2,17r#5_Seg1Ev2,18r#1_Seg1Ev2,18r#2_Seg1Ev2,18r#3_Seg1Ev2,18r#4_Seg1Ev2,18r#5_Seg1Ev2,19r#1_Seg1Ev2,19r#2_Seg1Ev2,19r#3_Seg1Ev2,19r#4_Seg1Ev2,19r#5_Seg1Ev2,20r#1_Seg1Ev2,20r#2_Seg1Ev2,20r#3_Seg1Ev2,20r#4_Seg1Ev2,20r#5_Seg1Ev2,21r#1_Seg1Ev2,21r#2_Seg1Ev2,21r#3_Seg1Ev2,21r#4_Seg1Ev2,21r#5_Seg1Ev2,22r#1_Seg1Ev2,22r#2_Seg1Ev2,22r#3_Seg1Ev2,22r#4_Seg1Ev2,22r#5_Seg1Ev2,23r#1_Seg1Ev2,23r#2_Seg1Ev2,23r#3_Seg1Ev2,23r#4_Seg1Ev2,23r#5_Seg1Ev2,24r#1_Seg1Ev2,24r#2_Seg1Ev2,24r#3_Seg1Ev2,24r#4_Seg1Ev2,24r#5_Seg1Ev2,25#2_Seg1Ev2,25#5_Seg1Ev2,25r#1_Seg1Ev2,25r#3_Seg1Ev2,25r#4_Seg1Ev2,33r#1_Seg1Ev2,33r#2_Seg1Ev2,33r#3_Seg1Ev2,33r#4_Seg1Ev2,33r#5_Seg1Ev2,34r#1_Seg1Ev2,34r#2_Seg1Ev2,34r#3_Seg1Ev2,34r#4_Seg1Ev2,34r#5_Seg1Ev2,35r#1_Seg1Ev2,35r#2_Seg1Ev2,35r#3_Seg1Ev2,35r#4_Seg1Ev2,35r#5_Seg1Ev2
,379.0852965364,,1.0133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18507.0693054199,17680.0184326186,18617.4713012164,15345.1987915052,24964.1688533808,33128.7367638735,34849.4384451114,31130.5978031158,36568.0229559329,0,5690.5117534121,5810.4011794422,6238.2559814455,6762.6929321293,4461.6029052734,123838.25123907,133605.390629915,134507.46973831,123781.822190172,120444.198516376,140419.351885446,0,143578.508886835,147120.313074334,150716.530040897,108604.059404606,108486.081044469,97679.6490218172,104359.476536994,107662.239152543,180932.495310079,170196.333190087,175032.50161311,181630.783006268,174669.221110699,28108.0812496129,30396.5564770754,27118.8508043535,0,23392.9687500007,21810.2279822727,20401.2597358112,23356.6566301755,20011.8393554681,26142.2400230261,118580.558626264,116634.248810429,112061.867377794,100867.134530926,104315.142209478,22877.1463561136,19760.8860243532,25000.1633195768,22963.9620869948,21672.0114151903,0,22384.7142774476,25653.7448649563,0,22854.0025943035,97069.1474791439,114072.986721761,100508.038068881,101491.328510447,0,81564.2345581561,84321.2110896495,78516.6982092449,74772.1771304241,79961.9781902226,3094.8102592951,1425.8687744139,1910.6630859378,1792.5944213864,1977.8831696597,18435.0104980463,15124.7605590827,12324.3872070299,10731.7654571537,13941.8352661139,28213.0728103007,0,31022.5762023902,25689.9463393609,32839.1147753128,144682.713546952,132895.502541501,144305.993116057,132429.274799522,130576.709234308,0,1218.3504638674,0,503.765625,835.3553009033,12902.0656738272,10851.5369262696,9384.7548828123,10435.8215840103,9449.6678771964,0,255813.914287866,0,0,247979.7063348,57897.8547827716,71737.6677649896,63079.4928971774,55607.5704915601,57093.4272746971,94090.4303689343,81057.0686239639,0,0,71049.3307750781
,323.0728901457,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3071.3618273951,1110.8822326659,5109.7496337894,2987.5769348148,3279.2137451168,3178.5038452143,3448.8468627928,4143.9409179687,1815.3967285152,0,0,0,587.7177734373,0,0,17925.9850579872,11128.4150071848,13135.6082051865,15975.458204362,10498.716229296,14259.1490478498,0,11697.104370118,11701.0513446808,15179.2017211913,7414.8948974612,7495.3002050788,7707.8160705568,6564.1136442518,9732.4996598402,45239.0230377309,40278.8260713437,36357.6114434025,44121.3743093244,39430.8655290113,19692.1080322269,26209.6495977151,20546.0933837889,0,18504.0921158112,10304.1269708475,13626.8883115055,11973.8916625982,11877.9095768191,9458.4532971991,3469.5674661026,3088.6118164059,5131.5590519745,2970.721710205,3165.6744384766,1469.3125358554,1251.1940612795,0,1007.0594482423,0,0,1763.3818359373,0,0,2766.397755134,4777.1918334966,6179.138061523,8091.3029174791,5083.0620056082,0,19919.7659939097,17570.137782686,19074.4691314713,20741.744781492,20848.1408182427,4240.127777099,4322.2042846678,2932.8060913089,4144.8909979072,2183.563917932,2927.9431457518,1230.3954724754,3406.685989055,0,1581.5930175781,30075.1135559078,0,29993.3936126903,26742.3673906369,27064.3249615442,3025.1022949217,6682.4357147221,8207.8742218016,3041.8375854497,3780.9415893557,1573.8034057614,5562.0726889641,3520.0927224166,677.8112792969,1415.1282116779,4117.8139495851,1979.4410639881,1866.6203918457,3022.0205535885,1879.8614807127,0,28804.4351213179,0,0,26574.1532571383,6313.203033447,8443.6201057075,8785.4132184296,9176.1092529289,6990.1802833303,23995.187042236,23291.3795471234,0,0,22906.6593744083
,353.084946238,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1725.1204116424,0,960.2800206264,820.9857922426,2305.2911275744,2498.4954494573,5609.3742420741,5632.39387556,4439.3508652285,0,2389.2524196811,678.9904085942,0,0,0,11544.74074336,7769.3418345796,12076.8526414908,12177.4262990489,8621.6166024665,8387.1220532759,0,8613.8008345418,6654.5530592075,10727.2378380413,6333.0933816076,5387.7133091355,5376.4071075384,4744.6012003043,3618.0658569339,54987.2627618355,55903.5288484075,46537.8936365998,55596.2918759316,54922.152264129,21765.1080436568,21653.504385525,19645.9744567878,0,23458.0577536727,12746.1027221676,11235.9371337897,11612.5784912112,13329.7454778401,13025.4516881972,4297.2431030278,930.7425842284,1250.973449707,0,3158.9032723116,0,723.912322998,932.4945068357,0,0,0,3236.0296020507,1973.2755126952,0,2871.957458496,4680.6814626577,7783.5838575138,6332.4519678016,5723.1284969913,0,12954.6697658338,12110.4080706934,10884.9895019532,10779.9761728591,13532.1096149248,3696.7866485318,5540.609536499,3809.5418090826,4789.1579159511,3497.5997619633,4837.8758239746,8013.0888591517,5097.5031738285,6288.843898186,6560.2253111442,44406.7165618258,0,44085.9435987354,39326.0160877466,40113.2025533219,5447.8078765868,5253.1331176757,6618.7770748402,5703.740478516,6156.4024963376,2533.6542936378,3296.7411732692,4083.1971787121,1218.8753662111,2953.9478897885,5402.2827453612,6261.0652715016,5290.7479713362,3517.3108520511,3756.9595642082,0,25605.8736528332,0,0,32925.4297790543,11600.7391005416,8175.6644649137,9964.3516480671,10766.3905709887,12351.2786923434,36641.9750125788,26592.3219694949,0,0,22188.3639547015
,133.0138459883,,1.1066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8094.2826843265,7856.4908455893,5269.0663303702,6938.3895263673,6510.7022112601,5848.6973183131,3293.0286652243,6435.3902526657,3651.554077148,0,13214.6001739167,14682.2710410202,9900.2221611244,11022.0014363835,9675.0227550415,15219.3181580592,15786.4185751931,17125.7040939805,7763.2925567631,16294.4409959759,11374.8161563279,0,9741.6103036697,6214.2569217327,8905.5237731939,16765.1612894303,15398.3339431497,13419.9768186593,13893.5672748963,10350.771045014,17352.2337390826,15735.7553228996,15065.5348346598,11337.1629826478,13559.4574029625,7813.7018127443,8062.6885140019,5394.2655912731,0,4251.5954132077,6983.3697058866,6213.1848170102,6450.4024607777,6233.04501196,4491.8851470947,6641.1801757812,8127.8795087827,4673.2857320986,9785.1895479413,4989.7027821554,33941.7843952814,39329.5058823231,33168.2114959267,32991.494828057,31577.9980857264,0,35969.6719604117,31586.9007305144,0,25967.18132895,25674.3553331847,25399.7315039589,22469.2062671456,21577.7667792519,0,48985.9393965247,39918.9402420216,41042.4853053572,43816.1051762126,41561.0243355793,31951.0815490268,30694.4406633171,29702.0625822133,23621.353369346,26922.4082604698,1010.8913421632,1461.1617431639,0,0,0,21888.918047154,0,26496.6717188126,22947.8382204113,19416.1185347181,26246.0285035143,25106.0329721572,22190.6795364832,22599.4552129483,23597.4810807391,0,396.6431732178,525.0039520264,0,509.0349578858,22544.7602017698,19372.9933605549,23091.5767008085,20984.2250795838,22352.7495719,0,23846.2756737161,0,0,18152.2873769452,11303.6319236445,12214.6583092448,9777.9567635269,11511.3656005863,10649.3680267338,4863.8394436457,4418.9461364747,0,0,1857.8824462892
,191.0168511215,,1.2266666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11228.8569488525,11158.4658508302,11871.382351931,9563.9844489988,0,96722.8266389388,92761.5104482179,91081.4065946749,81504.4163310668,0,74083.7645328608,78163.1451362595,67533.2093180003,5945.1207275394,62233.9488970273,87987.8805473263,86600.1769834562,100093.902324563,84344.9345085006,81332.4720150549,210120.478855409,0,181037.241770445,178410.092157512,154090.102398019,253926.500477223,259594.241569992,241594.463979052,249999.214333029,219567.411469228,93496.3757781998,87650.2891689531,99244.5145002049,85030.1128565194,81137.1812711793,50844.7284088144,52300.8039093015,44869.2458271325,0,42166.0198732589,157377.135420402,150228.320405117,146785.987697898,144378.835941137,141308.809964384,42189.5259645328,42103.7947288715,34585.9819369896,34651.0370125302,34648.174598142,175427.085630662,161223.546898607,137440.201158447,161896.451234973,130414.344007632,0,78400.4428119464,82340.8646541488,0,73263.158290459,111052.507641662,105503.693900769,100965.850712641,87519.1645598814,0,163972.807061054,163602.560215886,152224.09603233,136540.551528558,137569.646899405,124798.612603364,108396.509014535,109124.122215661,106100.985204541,103192.494277279,52607.633758545,59797.7848455905,43173.3575755431,43466.5023987733,46805.6437348789,10856.9674115401,12598.9123020828,9296.4804060208,6501.5988464359,8596.5489959719,69489.4557136585,67747.6190519089,65252.7375794487,62783.317643278,61189.8006910644,13997.0179083755,15650.2025275795,13281.5971069333,10399.2486062709,9773.6009063725,32074.1826834356,26339.6125038088,36329.3176505556,26847.7180150436,23973.3681640626,0,34581.7088317857,0,0,32533.4308167827,173359.664353718,167385.721251379,163083.579433804,154477.710078823,145310.961711916,54111.8225639889,53023.8252527796,0,0,37787.9152602637
,293.0646709897,,1.0133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54196.1212158209,46284.7045476063,47707.9011230482,44153.2315927591,42512.7865276456,72849.7713278327,57710.7207205703,57641.4470076461,52633.3740759978,0,22282.7185668963,16983.8351745604,15059.3246459937,19855.2952626985,13753.2769165037,68415.9392941994,57356.0820312501,67563.3379079683,61790.4200181892,52997.6406644211,69025.3757808107,0,58259.9361509727,50039.278240039,37199.7088204747,37460.5391776883,33489.568849995,30907.5753876404,31047.9310816027,24491.228649082,140492.697698779,121047.380556966,118445.70391531,121385.816304263,108956.769210114,163795.384719183,152389.331421032,140894.222461375,0,126543.094053184,31248.6796874997,33354.2430027246,27951.5181427015,28492.048003754,22691.2507356006,101427.489131672,85429.3735547577,85060.2764410079,66876.3161647726,76487.0280031008,5666.4246034665,9553.9268798825,7563.3880337255,5982.9852905265,6239.3940088255,0,19493.2294218508,24245.0847112201,0,21458.4569791057,61436.5382428784,54636.6761987925,50142.0564941864,43583.3107695029,0,51994.4900801547,55675.491224087,50392.0108224848,50152.7342278054,49132.4891845106,27790.1987372248,23750.0465800094,26037.5537992151,22016.331350537,17769.5454711918,23281.5961303722,20331.5337403886,18951.9576110854,18421.4104527988,15596.9200439452,68792.4922265768,1748.393615723,53452.3575901024,46626.89505389,67472.3641683955,48064.5048577472,40415.1627213338,42491.1429207138,35614.7808072184,38685.0374841387,12113.7306213379,11620.683083207,10731.3215684668,8354.9925231932,11660.5190624365,48802.4652804022,37475.60595703,46587.6898318304,43257.4986373229,35250.7723391824,0,58473.5950835461,0,0,40935.3453369129,87143.8003512627,91211.1822866209,87579.8767586399,78762.8687074697,69593.102265534,55036.0521534271,51139.1330596622,0,0,35906.3572172033
,275.0161586094,,1.0933333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10101.9803620879,10268.5742197485,8490.0462036127,12774.6095581038,11539.7079162597,11585.8160086936,13535.4647307827,12448.5132539274,11509.9022831548,0,21415.8311577916,22117.3815547503,23039.4494864403,23715.9358348521,20001.4180557687,8888.549823007,9984.8927841499,6988.3755647926,8101.0944034044,6527.2979431152,34428.1601572444,0,37524.2785361802,36322.2907769902,34552.6890344331,29979.5592115535,36942.2424409641,29305.2013046987,32743.1545967653,29211.2378911037,38599.9115945723,36163.0956147092,42018.3897250819,48744.8460411085,34637.4742542956,19453.79594963,25151.0350073965,20544.2123985895,0,23373.2401144551,24536.3514972247,28812.0505065941,29503.9211555416,27391.0195429523,26635.7097232018,21213.5613218246,22777.4388689493,22959.2426274079,20445.0351093533,22025.4148448833,176473.012442223,180771.090457181,172011.535373836,177927.404509079,176041.267362412,0,165543.756063418,166641.06702399,0,156020.389610806,42349.2008883563,39111.7005094233,44416.1970779422,37869.3488400219,0,202211.501294497,206613.908072786,200798.201462453,194292.027592617,190342.19556455,105647.618197158,113983.748620716,106661.073255593,122192.476633074,116862.811492956,6617.4138991782,8127.4725494378,10069.0297156456,6595.5469055172,5928.649368225,120545.487548121,0,119661.049978798,115865.486568046,118743.540021048,146028.926813268,137906.879053337,135568.136076552,127243.124521067,141244.254562897,1140.4291381835,1095.0278320315,0,0,0,88058.0362837783,79411.3710979737,89168.1016727697,74658.7370937084,82548.1592919741,0,83584.3683714131,0,0,84115.5205251079,28581.3644790457,30832.8717118895,32153.7936863886,30554.8671948141,31095.991848257,24973.4075385304,24380.6256369392,0,0,15165.7100260915
,272.9557926891,,0.8666666667,0,0,0,0,0,0,0,0,0,0,831.1398925782,0,0,0,0,0,0,0,0,0,0,0,0,1830.0869140623,3174.7156066896,2246.1739501949,3633.6603932276,1162.7427368163,8994.8535766601,4508.694091797,5250.2397522056,6954.9187622063,0,21600.83758164,13195.2180175784,13828.8227844241,14402.8168089108,13907.3197631839,11010.4489264326,7228.230730361,10506.5886555579,11645.8020460836,11399.6145061579,4780.5623659277,0,1988.285583496,1459.2852172855,2727.9588623044,7603.2432250982,5870.0248156593,4538.2472534184,6435.2370857995,9160.4751417504,943.8744506835,0,0,0,0,6743.035533574,2409.8610229493,4145.3591308599,0,3585.0112181019,34422.5776307747,30994.1016235352,34645.519256713,28501.2606924587,28134.5667220473,8668.0791320798,8216.6516494929,11829.3757182264,7693.8668581114,6553.9985961909,17571.114541999,21832.2091064463,25025.6968994157,22051.2540893547,14611.8684692395,0,11635.4144678516,16543.6239013676,0,13359.5512436818,18013.298925377,15965.4809265129,11314.101684571,17616.4873922936,0,23481.1863978573,22481.0346753918,23401.1149626701,27205.9002532948,22329.9241943349,31822.4888032944,32979.0231323245,27677.9115600626,35286.7297777008,32676.7160644546,1511.0665283201,1455.218536377,1713.411560058,3321.6400451657,1426.5145874023,9252.9132246601,0,6209.1803894044,6555.7592163082,7088.2368680302,22318.3612892436,23749.5559493024,23114.731842732,17922.4642944348,20702.4607849115,6451.7868347171,4714.9693105819,1877.2314453122,947.4916992185,617.8880004882,4202.2307911306,3364.339752197,5181.9097595207,2404.6912841805,1276.6375732424,0,9544.7922973624,0,0,9072.7331629815,8284.9303022264,8478.3239224079,7310.915853278,7786.1535339351,7077.1510721884,9950.0211619834,6440.9812622066,0,0,5745.1755676266
