,,,,,,,,e,m,w,e,m,w,e,m,w,e,m,w,e,m,w,m,w,e,m,w,e,m,w,e,m,w
,,,,,,,,8,8,8,15,15,15,26,26,26,27,27,27,36,36,36,41,41,44,44,44,59,59,59,72,72,72
Compound,m/z,Charge,Retention time (min),blank-1,blank-3,blank-4,blank-5,R8-1,R8m-1,R8w-1,R15-1,R15m-1,R15w-1,R26-1,R26m-1,R26w-1,R27-1,R27m-1,R27w-1,R36-2-1,R36-2m-1,R36-2w-1,R41m-1,R41w-1,R44-1,R44m-1,R44w-1,R59-1,R59m-1,R59w-1,R72-1,R72m-1,R72w-1
1.80_304.2074m/z,304.2074012335,1,1.8024833333,4617.1529125631,0,0,0,96854.1589156869,53624.0263526636,186229.600474607,170794.904735194,168773.347341706,156290.978797693,17839.6608665239,44699.8577381836,84662.9487703674,200579.265470938,33645.7146257437,182072.500783061,12066.6044562742,43498.3071312674,69106.7129848086,324227.629419946,493850.928597788,838891.011097628,1188785.78218098,352588.619839907,134934.863092967,77371.4464983262,166129.53580153,16117.122283544,54864.4514730042,111887.660609031
1.25_104.1998m/z,104.1997623762,1,1.25325,53.1780752401,44517.5329509459,45846.0921901567,47450.6187891055,7198060.75916645,3519316.32995143,4773816.54862649,5973021.20210069,4757881.48030383,3260062.57801048,7567208.84729545,5486144.40083091,6393604.27908331,3340791.18666761,2840639.49276009,3387699.28661842,9252095.91528315,5147652.96658993,7105074.15129579,2460828.86578367,2330330.99898928,8731896.28597692,3567204.10947971,4120795.47990379,3354981.36353409,1980674.18133532,2937174.68491718,9508097.77843226,5533696.48647232,6898646.83850101
3.88_328.1881m/z,328.1881476299,1,3.8787333333,0,0,262.9595077654,0,433026.775116071,155537.868081428,360490.551711229,1404674.2672828,1284555.98036183,633094.57884312,22811.9767624137,7324.2984687646,31732.9584075213,2390663.92138887,2653619.03654892,3978385.15664672,2993.7699133929,9070.341309268,29801.2158200436,238777.780167423,259759.134962812,49035.1865370608,141971.419741561,205320.393648139,819947.649313332,523882.668587196,1281609.40437221,746061.615463506,628877.439818664,886965.252995749
3.90_326.1358m/z,326.1357854819,1,3.9007,0,0,0,0,271206.301247863,58551.9990498572,113459.919135437,26396.740046296,36858.1850502862,16568.1214445397,118051.761019037,160249.210560189,2648.318502048,49322.0315811663,85531.898659624,60544.5517019722,4972.0108889312,4559.7251998283,7867.2693613645,27191.5407428049,11931.8536061015,5720.1215093322,8824.9128981588,21381.5591407757,33583.0971390507,15341.7318828337,45981.7981015791,12201.4045246254,36959.5816589423,30035.9995915705
2.06_180.0983m/z,180.0982789762,1,2.0551166667,305.749804031,0,0,0,1269626.99951173,1301178.39277997,1879381.13739236,85169.4242222293,21248.0273404237,6250.8796804827,19433.8240473478,27127.389459548,2321.9866296065,29396.0933835381,79990.2491978041,107058.516309537,42910.6847663753,6489.667534881,3873.2922164154,37504.2548681808,7931.4930828186,14727.1121573333,8548.3990905485,16993.6176610572,51070.2229348358,96967.2600731992,172203.715509813,43519.6869625298,23351.7567925437,26703.3680272019
2.15_182.0845m/z,182.0845051787,1,2.1539833333,0,1475.8335439514,713.7808428274,198.467180491,464985.899741832,250437.903923583,686873.591490499,427779.014818341,474649.146897513,216327.887505737,76320.6005337771,128980.859031969,470218.450117776,359748.417923714,564698.062084768,1110674.15311235,307870.167198844,255071.178564802,513694.173517367,286409.070779121,353278.149754776,97085.2431545403,97173.5984558811,290278.608659425,383437.085785826,376728.660764274,787778.637256991,578560.261591049,499661.649108107,1070393.78667133
1.41_325.1168m/z,325.1167944361,1,1.4070333333,0,0,0,0,544353.412786118,53609.9622433985,269766.41189849,57820.129689952,12312.6129585664,9766.0559419132,112893.238026475,49597.341509104,122139.245532576,275853.68769267,21118.4108886725,27709.2919921876,0,2883.8518982474,105476.207337679,24609.9540082719,44915.2964630244,36718.2115841891,21095.0440761235,31770.8315068871,361178.779118783,245161.866913253,315287.791890595,345966.304986154,34665.4424541618,25893.6634462882
2.27_239.1219m/z,239.1219068825,1,2.2748166667,0,0,0,0,5482.897644043,10905.5198312243,31515.6622703651,10917.5286622851,33368.0369853368,24226.6496877979,72426.5496599642,50676.5473698762,13418.8372035681,190081.297667621,232241.262180129,262847.887106779,81323.3446333392,94334.9846053143,66470.8514112287,109772.789482526,96969.8766447816,183305.479423294,59178.8782205021,112451.759624415,104771.071543506,49217.955298972,82089.7659062639,536383.495056148,300230.893326853,546737.197416202
8.25_353.2364m/z,353.2363505634,1,8.2505333333,22732.3080002294,1807.3735928426,389.411277155,77.4883248453,85363.1235421208,193173.358115983,156128.111166656,604897.027688244,634019.664589327,211421.122878236,98444.8649220974,59118.8122761727,164554.043391763,150093.47831639,135870.066000124,126754.669520337,434418.499917993,247653.282484037,453377.758997825,716199.00516201,571386.558270817,498295.393460385,388902.190894232,673722.815155008,395124.465539529,153765.321293286,723773.20268073,762785.828017407,551464.477233236,862417.42695853
1.04_200.9981m/z,200.9980944907,1,1.0445333333,0,0,1867.4127754807,2313.5169565099,77328.5701133879,33698.6496771648,63548.4859008786,127490.992775697,156874.321092602,123050.098686676,54568.6922302246,38941.5177917478,145084.331399837,259678.07062943,226731.458823764,105289.233024962,141581.6939525,82234.3623307631,127648.0951749,288239.146004198,239183.377571946,100524.903871144,89647.5053710683,89493.7386092028,125630.859275089,139418.570204529,76748.3617316104,194106.786560059,236180.220214845,139403.083546248
9.31_277.2405m/z,277.2405278773,1,9.3050666667,17758.2260384932,28848.8394531861,31126.9599696312,26400.235805484,339895.724293195,302288.731265396,319433.874433512,374010.079594181,312740.743743599,499326.046666596,359714.677916378,396019.701830004,368409.935636426,306901.729358621,435220.206336097,327154.259366005,255588.639553975,352971.313146798,527549.795598989,163176.816507663,165058.737171307,394506.400312783,282991.94387949,333436.616778473,258902.901181864,263794.125835843,391902.200699806,558744.951358483,299322.058476717,371087.586182655
3.79_167.0912m/z,167.0912417927,1,3.79085,0,503.8546905518,880.6375353049,1073.7001225357,481130.742187496,125833.503182279,235041.192443846,159961.87194824,129502.289146442,50139.8521014461,18421.4325111934,19163.2711637882,87136.6724700927,241456.771911623,212682.075321215,260986.255798338,74724.9151613428,85778.6585809994,120247.241798769,162449.479736328,246727.157642221,207186.672950234,70769.4974060181,149796.244933189,114166.937261547,79019.4365784191,140446.817355467,173445.189227855,123724.897814706,255785.571410186
1.06_145.1235m/z,145.1235137275,1,1.0555166667,40953.9285684767,17913.0244622174,14741.1015383305,14529.2783733099,216237.672956769,181986.539997325,232931.921925281,238483.421661796,259360.332630223,222190.012260631,165167.614900945,151081.173993085,282376.852533331,345997.172656886,356352.864184331,349831.66947413,235890.49096604,174274.24334607,208830.714035714,340814.990238988,320276.025273244,178028.637848934,151498.711374738,179543.78591047,245723.107025142,240822.889146068,249689.846072378,246479.607081034,281573.945325788,275230.671918769
7.90_275.2275m/z,275.2274559734,1,7.8990333333,2903.5129068151,0,0,0,159003.821456958,113851.103333802,165146.939095927,443200.155874794,568713.727842693,185930.383328643,31582.4562926775,37918.3324125342,71602.4781663829,5791.7367706301,38794.0645793529,5925.2254277662,13780.3940250742,221.3868854454,20310.7105934547,29223.7905424616,24096.3127475587,98314.6983102404,122975.481197608,148345.70479104,37641.67281212,6661.7279732575,15567.8758764913,100457.526507485,71029.3751760073,133402.418217873
4.30_163.0786m/z,163.0786254051,1,4.2961666667,168.5745819049,32834.6672594878,37333.4033947223,29506.6688888173,2920401.37732121,1776443.71970468,3233098.7922968,7804021.40742799,6442671.76869636,3867428.80552616,434835.045941364,419344.246892389,917170.791020457,2465273.32104491,2112302.22360229,2807678.21978757,1175694.26699081,1119073.86132727,1416210.58804324,1189781.06910796,1434438.18411256,664766.392238391,465546.287962966,914944.658314039,2057595.68236415,1304556.86077312,1490726.74928024,1357507.8688681,1229664.42701662,1894692.44581699
