,,,,,,,,e,m,w,e,m,w,e,m,w,e,m,w,e,m,w,m,w,e,m,w,e,m,w,e,m,w
,,,,,,,,8,8,8,15,15,15,26,26,26,27,27,27,36,36,36,41,41,44,44,44,59,59,59,72,72,72
Compound,m/z,Charge,Retention time (min),blank-1,blank-3,blank-4,blank-5,R8-1,R8m-1,R8w-1,R15-1,R15m-1,R15w-1,R26-1,R26m-1,R26w-1,R27-1,R27m-1,R27w-1,R36-2-1,R36-2m-1,R36-2w-1,R41m-1,R41w-1,R44-1,R44m-1,R44w-1,R59-1,R59m-1,R59w-1,R72-1,R72m-1,R72w-1
1.69_349.1531m/z,349.15309798,1,1.6926333333,737.5279473552,0,14.606129683,0,7383.8997363747,24309.3770412769,26166.3841138553,0,42706.4500799211,39179.7579051646,33916.959773456,23955.8729515116,38418.6627507876,19435.9244059278,8306.1937005773,0,3389.9965494115,42557.306281451,58065.0040200353,0,390.7190433433,10897.1173071016,1012.9711886851,1050.4234956575,208079.648073226,439632.036744285,599344.116155028,0,6717.9092651275,12334.8825386777
6.08_551.1878m/z,551.1878166993,1,6.0756333333,470.0481105813,1127.9497505447,0,0,75419.431187187,39153.6918337927,3028.689217262,4076179.24764621,5405373.86540561,2208538.15201137,55.1761544999,1500.6880281708,44485.2156874799,4159.4501975088,19382.0294328642,7167.7296421885,41715.9973193014,64924.2870256893,2777.7955498573,15344.3407488692,37383.0191788097,3291.6496582031,2129.4990974093,3444.7643703255,0,0,36.6192598527,12871.5591706915,162999.014254,12096.8598719418
5.17_433.1690m/z,433.168963814,1,5.1749333333,0,0,0,0,0,23527.2860325371,0,607055.489068843,811048.203223049,155330.459936419,0,2555.6137437733,9798.2627414936,4305.5935230323,0,141.8809442637,55985.5931174944,26673.7586058829,2874.7673339844,11228.1766687486,72251.0078476702,0,9855.9470906495,0,0,530.1530487054,32298.9398139545,0,4.8705476764,1866.1924062051
15.96_136.9332m/z,136.9331715949,1,15.9636666667,20971.7049756162,12346.5353279942,11070.7549689335,7007.5952615979,2787.57013429,12628.8550566427,8534.3000095404,2040.4230277176,623.7432447402,10531.0852638488,6775.6453849394,5655.362089646,11602.5101244328,5569.7362060549,10085.220160478,17989.1499677367,9060.7045548298,5315.8166995658,7978.9792553684,2873.9430344191,5764.786303357,8099.5399549535,5444.0711265,17946.6686859384,11679.289821102,11508.1529020967,10846.330697785,6212.3618014646,6399.7831018482,8473.3195975322
18.29_659.5433m/z,659.5432801983,1,18.2855,0,0,0,0,8755.0119581957,2447.8208690134,0,871.7625819379,0,10.6766222072,11157.1168636258,2273.0489620467,12620.9453555405,0,1717.8663570193,2861.6545452036,1170927.04342515,0,48709.8452847192,2688.2230351438,2902.7614858052,151044.047323689,0,0,3045.9472618411,0,807.7130861141,241525.03174182,117.1030690736,1422.7438735737
2.15_506.2364m/z,506.2364358026,1,2.1539833333,0,0,0,0,1756.6497098391,1027.7523096843,6970.2850141862,1810.1310191135,0,0,3692.2051730702,0,868.189453125,69486.82125196,276821.610650988,846012.752230404,0,0,0,0,479.4572388042,19908.9128000199,23041.6992802486,4548.1156318219,102373.209752047,206507.531725611,634968.953731798,14119.6523254474,318.9053202021,0
4.22_404.0086m/z,404.0086339286,1,4.2192666667,0,0,0,0,0,0,30685.5976131745,54390.9030775367,26173.9938536453,24671.2933823622,4756.387753211,14298.4187086035,5099.2734257357,1773.7732423731,474.8982361281,5900.0083007812,0,0,0,12932.9361010303,0,143622.458498661,213567.77716645,142868.57703812,0,0,4778.154475547,17974.4795349215,27275.5742187502,67838.0244248204
1.21_295.1477m/z,295.147700277,1,1.2093166667,26126.2962473377,0,0,1430.7469161166,24623.7996510974,54635.0561669723,26109.5360877631,4660.4910889245,48531.2506434183,39830.7025373746,0,63792.0990662185,1536.4722290039,77904.6739380091,173768.593505858,148963.761776461,17442.4918383317,119976.216179374,0,91122.4764053781,61191.0460205077,6985.5108750279,5973.4889084609,2915.7761824683,90688.0838449397,125857.290764042,54591.6935261926,7086.8173895501,66197.5413513181,3246.1688426838
13.95_413.2847m/z,413.2846616026,1,13.9521666667,300790.442183993,11428.9920988044,48292.6664488156,54775.215077504,4885.0117187499,1301.7409667969,9151.1526794433,266502.52038075,11140.7249335758,20626.9245605467,12824.3505859377,35997.8957830319,11581.2970571987,8052.163551109,17410.0984435248,16749.422038864,26864.085205078,22810.1824561995,19254.9928894043,9579.4428710937,13320.8210846494,287393.265245412,15476.7474524626,11661.2309570312,25956.3521728517,10248.1379643941,26944.8623197233,101345.296055688,33573.6332607842,18187.9344684667
1.73_130.1135m/z,130.1134625144,1,1.7255833333,3683398.7812721,22912.5214023235,34308.9972548136,43866.5392465536,4439564.50522695,2199247.78401738,2759296.66693715,2841609.29526011,1800832.72439452,795786.990096062,559740.650543921,357447.161448016,384260.797068858,2466690.83485623,1621338.85144695,1731591.47516281,437855.246266465,204589.887428959,321156.933070508,769468.128624467,1075133.03594096,720370.253606276,216490.42834562,344894.313381073,1690473.3782976,549631.797740518,939006.837415576,1701696.33983168,605906.776079836,928447.11008352
4.97_137.1331m/z,137.1330903012,1,4.96625,0,0,0,0,211797.489274941,107917.931579588,228407.965535194,66866.8260394474,77595.5525716111,34146.2981206759,624.8459532786,0,1595.7025146485,0,0,0,29967.3668823235,20203.980468749,3714.9860839845,37794.4352319012,24708.2965128139,12746.0539550787,0,9535.755371094,1536.5211840153,319.2332261446,0,0,0,0
2.57_248.1804m/z,248.1803710179,1,2.5714166667,0,0,0,0,10574.6428373552,9095.0055966826,26377.2969235411,85188.5608705747,82428.4078775795,32535.0833593537,0,294.7232666016,2407.3974175376,52100.049072265,87249.1998787378,206118.148263427,0,0,2786.0659942627,0,0,0,0,0,0,7307.7793579102,13163.0447489877,104210.264506048,118398.456176756,224249.474057881
13.52_263.2978m/z,263.2977626052,1,13.52375,195.1075803693,0,4417.8077324867,20777.6114767355,863994.266645485,176048.718803696,606.1193130909,181105.93528078,222593.256615261,748.2660243882,633387.286773605,390762.253383625,3605.6477521467,42349.7340103058,13064.29294932,1499.255705838,2809363.10259864,2043223.44990188,545294.978563172,166172.0849901,0,450726.478405441,135238.216776298,14954.8927489919,367761.890995541,155867.704507845,39133.9994530535,833245.420869208,387169.493292152,36443.861631756
3.27_131.7555m/z,131.7555344721,1,3.2745,868.4715111792,4882.7447936237,6523.9240520349,12945.3843620387,2.3768412681,602.8121890758,0,0,0,3100.0808196097,2228.7293505683,2213.296931894,6895.6228997363,0,0,0,5738.1460999641,291.9246551695,1495.4832797728,0,0,2925.1203613282,1195.7337859652,2759.0217285155,0,0,0,401.4954269254,0,711.8181762695
1.63_213.1405m/z,213.1404699886,1,1.6267166667,0,1454.2878926362,139.4847914139,809.9400996896,15629.8727576343,2295.4449268325,21258.4394015146,26804.2959616979,23638.6669270961,19768.9799409191,251088.438019722,7474.3322163164,2223.5856509373,6347.2028808596,9200.5640869143,4822.4622179393,1881.7659912109,2066.1187410724,10268.3225229476,13224.976135254,25444.1814575192,120374.58901147,40.0611913968,8911.5923461916,0,2844.786322417,4297.4287109375,37189.4317626959,5865.8526419213,14820.7588650638
6.28_599.2107m/z,599.2107140073,1,6.2843333333,366.183005995,0,0,0,25101.1326508738,2186.4488228846,1312.3428709117,3213.2756481329,915.3395539401,1184.2753755893,234.5375073296,0.5159573838,69235.1248700826,5431867.89990052,4561085.03736336,5200155.88758757,54970.0463845099,8626.2620906736,7384.04122654,77168.9989189875,71240.9063878501,7420.0142230302,11837.6548083422,0,0,310.5167755813,6047.788392057,0,4493.0688601918,3770.8661728437
1.04_126.0355m/z,126.0355088469,1,1.0445333333,7577.1034573182,2487.0851344037,1083.2322994119,518.3850134822,5458.3857045096,7295.6059268257,2833.9459512445,11847.7582886021,22474.0579288721,18654.4543457036,7065.5419964079,8432.2742255121,10386.1649634263,2892.3582763672,8071.9661417951,12614.3808784641,18364.3189226534,9199.7385258854,8807.2683419723,10425.0121459335,15953.6419677733,17758.4958166084,26118.8749361869,29780.8109756419,4360.5646538739,28470.6520330456,17191.9793045923,6301.6367740062,23925.9815091216,18091.1195189536
8.93_113.7707m/z,113.7707344168,1,8.9315833333,0,8620.869585714,2091.7910452695,9959.5401797793,0,0,0,0,0,1683.4208984376,2628.5769223867,0,4798.6971435548,0,0,9029.0545173834,0,5943.6852959633,0,0,0,0,1527.8117675781,0,0,0,0,0,0,0
6.79_483.1754m/z,483.1754172914,1,6.7895833333,518.4862795653,4.4187138623,529.8094787598,0,106738.456760601,29017.6158892061,80457.7158786332,487.2396030992,11641.638315379,6602.2633313905,120033.471769369,90260.0397717573,24744.1374097553,5977.0365182865,378.0563324718,4328.5114677043,12781951.0019574,10557934.6494227,2016663.99776561,6272.4336571732,9218.7411057799,4483.3125814483,422.1345672386,0,50863.5186045662,4207.7467254873,4221.4580826358,6064.636864507,2890.0026227261,12159.6036584381
2.16_304.2042m/z,304.2041846151,1,2.1649666667,0,360.3695437772,893.6029494916,0,816.6566272994,2904.4817510184,25520.092693074,1442.3184663123,100678.852953736,66489.6391638623,1691.3262837918,4391.251105819,10580.6877330369,16675.4030061877,0,1581.8257261144,3703.8035643873,29960.9725591145,72107.2900938378,14743.4136674006,57270.3019340475,199181.177134709,944272.815034467,1663145.96823949,0.1038571124,19752.6295648352,8528.2992556607,1318.3035309994,24959.5888817228,89170.6370213708
7.16_310.2152m/z,310.215228297,1,7.1630666667,1003.2678224031,2874.1646652891,8.3560758152,0,2471923.59733255,1278265.20097045,529888.884835684,2581.3496093751,19681.1313331385,8924.6287908195,8253.5815060686,14725.1901903302,21187.62922835,8786.9080400567,8777.0692924075,4751.0588030056,293354.155907273,58305.5765742902,4614.4237625634,3347.9485908997,13445.2570412167,1926.8382073465,1516.3270856955,19296.970728123,3763.9547694292,83.436765693,978.7011810794,0,5384.0855093269,241.3878161393
6.81_205.1073m/z,205.1072730582,1,6.81155,0,0,7.3166716913,486.6441297243,123391.140903843,21900.8226974174,24136.6154293635,54011.3546142571,13427.6665488207,1605.5048828125,0,1164.591003418,453.6689767903,1332397.44720459,9.997622015,1115.9207104201,23663.0664253249,2070.7054915648,0,0,0,78299.9325459699,44124.6302350683,38892.87388694,281157.400573726,173633.76099088,181301.301634725,3250.5175170899,740.953918457,5981.4438436266
7.82_113.7559m/z,113.7558549484,1,7.8221333333,5588.904704157,14569.0199879544,10452.1363465859,6099.5433111263,0,448.6815633469,0,0,0,20143.9481553693,4580.2475514715,6462.0037231443,3178.1412849095,13040.6080701782,3709.4584199147,6322.8658281971,0,0,892.1799141391,0,0,0,9371.2564086915,0,0,4336.9934082032,0,0,3079.3837890625,614.3456443535
10.72_277.2898m/z,277.2897643013,1,10.72225,59209.1579525991,49080.2314213638,34521.582669672,111861.01685956,1507741.0351044,820187.983286175,182785.136723708,3884488.38446923,5357804.08405189,170136.266940137,1038612.74788776,621655.563348903,1336059.7166233,208425.6293639,344963.668788727,149671.920723687,244758.174301431,170512.251240209,79537.9432049328,254480.276798139,127421.747024208,1346984.37095356,992292.038243688,287544.823303649,343172.446816159,57630.8368186478,109541.924092507,1379056.12442501,966291.984486533,627499.587754403
9.96_415.2040m/z,415.2040100657,1,9.9642,3841.3887939453,5902.5248369569,413.6133824369,184.0406078227,195042.308321838,171305.323964481,96941.8901125035,12990.0679702991,0,78957.7722884321,136709.660933673,187252.007111982,100522.958659384,118623.855113516,134061.157952558,113542.95200793,170906.728651602,155307.468945308,112510.755964905,6279.0579833984,89110.6958465579,68893.3078082616,244742.005145857,93142.4613133882,140355.070241874,24393.3965744541,154014.415804076,148956.135832254,134581.193739711,132396.442699132
5.68_549.2791m/z,549.2790945707,1,5.6802166667,14.5374591036,0,0,0,5037.5109997702,6829.8038974777,20343.3332585285,0,0,1647.0641330648,806.0019632755,80.7333362407,27881.062107392,0,0,0,0,1862.5240123252,0,797505.928188605,999646.07801218,1006.4131881368,1598.3703789366,5040.3331928536,58109.4024044394,34033.1934016884,85025.2303577915,11806.6572617999,1543.0892300461,2769.8363047746
9.25_231.1965m/z,231.1965069975,1,9.2501333333,0,0,0,0,67675.280341834,35961.4111899372,25896.3322725405,6731.3082885743,0,0,0,0,0,16942.0178766634,3384.9900029622,474.9684143066,965.3310281855,0,327.7923909713,0,648.7493796251,12595.0106327892,0,0,1424119.07482911,1116443.92412152,719311.240866081,75295.799301455,16518.6967874268,4025.8693507635
4.05_220.1554m/z,220.1553771418,1,4.0544833333,0,7469.1191911188,6302.2565694981,7910.7885752558,169114.133183697,63479.8984478027,34026.9822998041,193576.306016138,109714.847049992,59153.0101678896,71166.9258738723,23925.128785198,56334.4913270444,78122.2890609868,72175.2137331132,95646.0552978515,82176.7106774274,67598.382762209,76214.8823849391,192429.82870457,184697.794028824,191751.48753188,77200.3523288441,137461.735815983,6355.3831112363,42807.5013699759,6306.6981021968,644184.766428499,341827.13422838,481787.658691404
4.20_441.2503m/z,441.2502912791,1,4.1973,1534.1696591014,0,0,0,0,0,3326.5126953126,29613.3666992189,28379.5203384091,1766.2418823242,1765107.30765584,2450111.68858651,47.1293603047,86152.5221164221,4608.8747223167,57716.1516593345,0,6120.3540397533,10612.4809727265,7502.2685561919,1973.1313267439,0,4356.4819424734,0,21259.4996170467,10295.5454003008,1431.8096598938,957.4650296251,15653.2561864317,10409.3930564642
5.79_213.1498m/z,213.1497760944,1,5.79005,661.3733399904,1746.6916349281,2961.0881033417,3934.2351938269,0,0,0,2599.5464122484,0,0,611.4526367187,414.5985325357,0,400945.02418438,463696.848399804,245535.774944076,0,0,0,0,0,30.5343156289,0,0,0,0,2304.3734441173,0,0,0
5.86_303.1030m/z,303.1030162122,1,5.85595,0,9045.5519894875,3511.9069594454,5505.3197120334,111763.617881259,30942.7128329895,45314.4022150671,11677695.5089673,10560156.9700633,3224900.53239416,30847.6596558251,14346.2492218792,3521.5868316523,29510.5196890687,9444.9913755821,16788.8030569891,1068329.78656351,598120.405089591,6744.1325627329,673441.590405061,169263.262732297,217153.943493582,139748.897192567,187610.231559538,0,7810.7414494485,9954.371033296,2550527.72986536,2394832.81267325,2151526.05105195
7.91_291.1863m/z,291.1863368706,1,7.9100166667,0,790.6346777129,970.3175732662,3866.8544220805,5440.7973211051,14872.1467476014,16920.4504712179,105672.756271565,177888.320704079,95114.0059803664,11470.3633125357,27092.0057932242,111569.808273423,100.5549833796,14751.03795397,10172.1655894451,10376.1570635606,11171.4203524056,16508.8914734327,0,1102.5472973794,47629.2542073614,49322.6451102614,77575.1211443501,27335.5948995429,7483.8834070391,5790.727780603,39984.9166690987,40223.8305438011,46764.0993547634
4.10_135.8994m/z,135.8993591077,1,4.0984333333,0,0,0,0,3191.3143694823,5559.1869506837,2035.3856025158,5714.5132034213,1277.2114106054,643.8047889878,0,0,0,0,15288.6172575254,22222.0847975466,6887.1354642834,1985.6342135074,28614.1658762232,0,0,0,1483.0263671874,2392.8532714845,6214.7517268081,2653.7154935247,3169.6756517678,0,0,3711.8546846055
3.55_152.9048m/z,152.9047870659,1,3.5491666667,0,0,0,0,12474.6093577941,18123.2563519961,25102.0081041362,0,38983.7793529722,39709.0553155751,9829.042996214,635.2112426758,3091.2307268739,0,0,0,0,3910.4466552735,4477.6052246093,0,2379.2369286381,1138.8406982421,2185.1535949707,17124.7319340864,0,0,8891.991882324,3027.7125854493,0,18504.9450596714
1.04_186.0019m/z,186.0019325048,1,1.0445333333,0,0,0,1851.1018829346,3705.9940233202,294.8965759277,1601.9046504801,2557.0436717897,6724.9501953127,986.3959350586,5549.8497009279,1181.41547115,7604.3879089353,19674.1107691316,12186.2330338804,3970.6378247325,3365.01585647,645.2862402907,5254.8464355468,5842.0644312174,9668.8257677441,1260.3162841797,0,0,1936.0947751026,0,0,9132.7368164064,15254.1746086435,0
5.23_116.1141m/z,116.1140834229,1,5.2298666667,9078.5200074098,27402.8176898943,15965.0300495752,23590.3006424701,0,0,0,1049.2656774478,0,2002.8697509765,17839.1464918454,18025.1089061615,22106.6864755104,10525.816458939,6697.6170716994,9465.4707031251,0,6915.0318603516,13700.6052270172,904.4491855079,0,0,0,0,0,17034.9182585233,15161.2105046337,420.5935449202,0,0
6.84_265.1908m/z,265.1907880735,1,6.8445166667,0,0,0,0,21100.4264267932,12105.270690918,19587.6307753087,3662.0818019952,134.3170568232,1567.1827631027,0,0,0,0,447.3380185181,0,2.0391843525,34.2549463726,0,148.1926439291,522.6389770508,400292.694794175,221651.255676755,320523.726832866,289186.541218888,133640.19332306,185715.284958658,0,14366.6664568484,18275.9708966681
7.33_469.3443m/z,469.3442944657,1,7.3278333333,0,0,0,0,1503.3896333698,12708.4793804789,9168.2965893023,0,0,92.5870196848,1322.3793254542,1532.7770359249,0,4985.323563483,2295.8743282651,729.5691074353,12235.5621889905,0,4718.4467724465,594158.989629972,812316.521607287,26.1526260133,0,1656.1151123047,2768.0411484431,2388.5266168431,0,0,688.7280010074,0
1.39_428.1923m/z,428.1922812968,1,1.3850666667,0,0,0,0,398234.413521637,68263.7175479048,467038.829032308,144737.687573557,93680.8658654016,95848.270935059,0,0,0,0,0,0,19628.0336303712,5762.1452483595,6737.8026606125,7710.7794769349,21068.0413025731,0,2824.0889656628,8128.426612814,5810.2934571409,0,0,12467.8036699266,15471.6704256448,0
12.33_405.2108m/z,405.2108486129,1,12.3262666667,0,5.2980060752,0,0,1795.4077142044,0,2257.617204792,0,0,5566.9188423067,15636.7442163204,0,0,12241.6933533677,4453.9574583499,0,38505.5472191081,29890.5248535035,5753.5106458968,988234.680509276,5445.5534527824,3993.0780560125,88.04938219,11062.245460335,1939.0139820317,0,2077.4326476239,767.0666572996,1558.5341553707,4906.5171906076
3.85_114.0685m/z,114.0684947326,1,3.8457666667,28405.2679138181,30263.1946201381,29160.5856761002,30956.0563198581,0,0,0,11466.6358072787,672.6344975307,4611.5083776114,10868.0400034624,6788.9416408318,3619.2873535157,0,0,612.3643188476,2444.1376910141,9129.2146287156,7964.0569458008,0,0,9856.576553505,2392.2666015626,2724.1851806641,7093.8259270448,9596.5117955405,3505.4602050782,4643.2884521483,0,0
19.63_362.8509m/z,362.8509233413,1,19.6281666667,62933.9854596502,36747.1940541717,14120.6655273437,68288.173588864,18378.6615542317,33161.4936620182,49427.4460038457,21336.1600646971,58316.9643464085,24688.7965891594,19288.1467395816,32203.7555236817,81418.7983936723,36801.3352457176,15509.252905343,45537.1258205466,8189.5479957008,22614.2535960982,17339.1311645506,58531.5794837255,38438.6796264646,33725.0128702799,39621.1811963659,31207.5155720516,58214.8895585344,31086.8399504283,48311.097597099,28310.7423929722,35632.5328559757,36120.6559004944
6.58_257.1726m/z,257.1726443422,1,6.5808833333,4893.9627533677,1019.3611226637,7095.693941293,8885.5606295382,1236.7920937582,0,0,0,0,0,2639.9151031491,764.5259295604,0,0,3491.925833228,0,6641.6636501976,10369.8709438464,837.7638729097,2163677.63788616,1853073.13886368,0,0,0,0,0,0,0,0,0
5.99_135.1990m/z,135.1990169943,1,5.9877666667,0,0,1597.4376661754,44.7902182285,1483422.89184569,999270.979370117,1522574.43502885,83423.2016020246,61845.8258424749,21099.0536648196,0,0,0,58591.6322641653,99439.9368173975,102675.278643603,10576.1969117498,4656.3947677609,0,29639.7601096595,30103.3797937487,354225.875375454,163740.644815657,309818.050796039,70842.8751056569,49862.1995266874,0,346777.682390779,284186.369127388,330588.841523588
1.67_142.1268m/z,142.1268373672,1,1.67065,48152.1324843492,127288.50643845,127980.749119474,135629.053771132,240537.948208348,332666.784824299,499079.362010348,54104.0350246937,88829.0788155721,74943.5222632155,44039.4146286131,38095.630172153,29088.1983993377,51712.8664400476,14483.6008207607,35787.4012196998,34474.9271731263,49878.4417695516,22351.783530647,83249.4069549818,88501.0367910211,414075.549929306,119086.747440653,216489.749551969,51541.8740786682,38867.1059262775,19417.6040888988,57469.9484616407,39360.940615729,57270.0141835874
6.89_143.1704m/z,143.1703595188,1,6.88845,125424.530853905,14906.2510217995,15883.0756063716,2238.6109124746,0,348.4990329899,0,0,0,0,104777.901172701,2783.666809082,0,16859.0672564003,0,0,4300.2080078124,0,0,3250.1768525751,7640.9808715278,0,0,0,953644.83297812,39650.3835498286,4078.7722000645,5541.8707885741,0,0
16.25_158.1817m/z,158.1816690014,1,16.2479833333,30892181.5392923,255330.464565699,291315.24773321,368021.457042005,194137.100632021,434359.538269784,333016.850932201,23259.715139308,221875.047487882,385814.149748629,1908478.37809663,297522.027983765,280209.66946509,351518.871359216,303904.630885019,368071.578961495,138725.940785614,346887.083093871,248616.658173989,226051.474794806,321715.112080237,134170.343185551,324368.165910831,347575.420149839,152585.384073257,239390.089797163,239984.871743979,54804.3525482815,259652.910064472,348932.262278959
6.06_316.2350m/z,316.234976664,1,6.06465,1548.2143889184,0,0,0,582772.002929694,327836.26432789,664631.211214271,0,1907.4988700506,0,32125.4823996722,33887.7876446704,7257.7994446882,23515.9623176745,0,14209.1123007732,342681.139930313,22253.6408974734,19058.1760536649,90.7026793806,4520.9213038262,0,2416.3959380497,23154.4066125584,49.5725027207,374.9754043835,35461.3312619352,13317.7710682155,658.1305393529,2603.8010540073
3.31_141.9996m/z,141.9995617409,1,3.30745,40121.302233275,65441.7453494963,78527.4346179227,73630.6648635368,15164.0831677388,68063.0541780254,8940.5073242189,80571.9794915496,68279.4717712409,76291.4715550325,74459.6964866416,82910.3586719157,45423.052991881,83808.1302610197,79008.0356517581,43181.8783066053,46668.9757840104,66227.2907055597,29553.7281951897,61158.3992640972,48639.5718688961,59456.2085266115,76291.5754125422,59609.3443240367,63501.8037473869,77243.0555379593,24629.8040669751,68686.0702707111,71558.9736284769,63232.0370311182
1.73_192.0341m/z,192.0340552597,1,1.7255833333,0,3581.9194145777,1116.2608793096,307.7708733338,0,0,4626.2924804685,511.4724175328,0,0,0,0,0,0,6029.6861572266,0,0,0,0,0,0,8685.5060307042,0,0,0,2328.0427957245,0,0,0,0
6.93_499.1824m/z,499.1824042758,1,6.9323833333,0,0,52.673385619,0,15967.2418703455,29174.7572236143,31123.343670849,96.6123786001,0,0,0,8021.9698365762,165.5288018416,93437.9068559131,110072.471182105,20599.8173187472,2508328.5524394,1239789.23230729,523678.165278843,6086.5402592643,28032.6004809997,0,5661.2586045351,7531.8367062808,0,0,0,24529.7891775252,10668.0398523039,18586.0240306247
9.32_221.1763m/z,221.1763171288,1,9.31605,2676.8270684965,2819.3244038155,2427.7330114305,283.5339050293,84349.9400456681,46819.4097189501,49324.1282421757,62650.6037827076,196767.41471146,86460.434330157,39710.7924098752,64353.3091829664,30191.5509565374,10976.4020080566,39787.8921744626,24355.617701752,318.0331726074,25060.2573208909,43927.4524768295,44674.088241335,13814.723009767,9279.1196346561,268.2102088842,35737.8763538469,50545.9740233907,44666.8696927732,33880.9808797548,3548.1259155274,2241.6069465135,33548.9004424093
7.53_132.0007m/z,132.0006649352,1,7.52555,7107.1960879284,12383.2545141926,5011.2982788086,8487.8595395116,15844.3450597552,4007.6482258235,22739.7512170018,3220.7264321274,1937.6892089844,4450.0171781794,4046.7237687879,0,0,2203.0233154298,0,0,11717.9833539206,5918.777821289,0,0,0,0,0,0,0,0,0,14532.1243784763,596.1186186674,5149.3886499008
7.72_483.1743m/z,483.174315865,1,7.7232666667,10095.5983338959,0,1635.1680209506,0,22875.001448331,3189.2720649616,7111.4075357983,60753.3287226485,10795.0215595375,12132.3810646674,137806.687966236,83682.2361369954,12725.7962142794,2352.8489286866,492.3933363761,605.4636015469,19574906.9556322,14964996.0759351,963738.861397885,735603.58894239,998841.853444176,56005.6597724599,272471.599517748,0,2760.7046591678,0,3587.8091629284,24526.2650856023,70375.1099051908,1552.4362723516
6.05_122.7903m/z,122.7903400886,1,6.0536666667,0,4444.9756191381,697.4550209148,9244.2690116576,1717.8029731823,0,0,0,0,624.1960873687,0,2938.1023868989,693.0018760313,0,0,0,0,0,0,6456.5043945314,0,2655.7192382814,0,16.6464023333,0,0,0,0,0,532.6364947106
11.50_203.2143m/z,203.21430212,1,11.5022833333,7475.904416757,10407.0143094118,24485.9291246837,22591.1726219558,9553320.29643971,2280903.92250044,696638.20562238,1524160.86076094,1331569.13132334,87205.9078599495,128189.692461715,79753.5156275217,32056.0604368059,117062.101116577,89619.099193621,79724.1179959514,14725.5958646179,49963.6301016082,28685.5744296148,14602.8907284095,37011.529557535,180114.668877764,77530.3188576526,58901.9074844522,1813746.67627175,841974.5522968,274903.342113956,334739.514113603,106218.693932546,81180.9289706379
14.95_225.0575m/z,225.0575244895,1,14.9528,41626.7894656067,43698.2330592104,50872.9926063467,74936.7048100222,35592.6463426268,17734.2135294526,22420.6379056151,6657.5474822151,1085.6271972656,27853.5448108672,2236.1324206483,30536.5239557435,7517.8553466797,4653.3168131277,28535.7150496721,8287.1576559551,9200.5845387229,24970.6520393152,17556.9306093704,18088.6637705221,3575.7401733397,4263.0888061524,0,20190.4933433855,38294.0414363213,1543.9819335937,13792.9097347636,28848.1767069346,1519.2453394819,31570.9580711779
11.46_259.2717m/z,259.2716784436,1,11.4583333333,0,0,0,2122.106211476,2452.778185339,1659.4115591327,948.7646151789,0,0,2898.1998936776,193901.8404855,112691.203765727,12982.6714182923,2782.7104537674,1477.777173102,6783.7285941577,37796.9083609229,15183.9947497189,5215.935412033,0,3969.5817576244,8300.5872589303,4494.8030456594,2344.3694237441,0,562.1900221234,360.628675928,181.9157861357,6367.3297672786,526.2038159299
19.55_102.1550m/z,102.1550021074,1,19.5491666667,38171.6519165038,636.1576843712,1039.6650390624,1069.7005559662,777.2046379588,2694.7399703874,0,0,0,0,0,0,1294.181640625,519.3025512695,0,0,0,2054.7307739257,2484.9964599609,3555.6604003907,0,0,4611.1521606445,0,0,718.832724565,0,1155.961151123,2289.9231567383,766.5822119423
2.33_269.1715m/z,269.171526296,1,2.32975,0,0,0,0,5133.918071317,4441.7869262696,0,0,0,0,1264.7303771972,0,160350.223406525,2409.6666870117,66923.1990705603,72674.6190836118,24986.1014336386,632.5130996704,59334.0763920828,6869.3469390871,1166.0526123047,0,0,0,0,9729.1351542995,27179.6035428659,348.0248599398,194.3240520814,18523.3240998499
6.88_187.0901m/z,187.0901271904,1,6.8774666667,0,18.6268107713,0,0,23691.2368164071,9273.1350097651,28850.4707641602,17824.8889536331,10063.8080171348,5488.5155567506,286.2754670844,0,0,226936.351665694,0,0,145990.227567209,5704.3448486326,0,0,0,2406.9604492187,2739.8979598403,15828.5382055241,744724.246704104,123886.916214096,93418.2842353816,2384.9831445785,0,2871.719909668
1.25_264.1481m/z,264.1481123488,1,1.25325,0,3881.3065486796,1757.6144645968,6046.4885718719,63640.3358264817,42773.1829340967,63098.2057178001,222524.360578792,200863.50986778,173963.995621059,12404.1184321724,0,8988.2265505858,38129.5557981751,35134.1126559026,61173.3381715239,22431.7750698628,990.6855453175,412.823910168,142189.720022726,158262.534812285,84145.2589912372,45063.7732096912,129916.211645942,13743.930937293,7488.1343913152,18384.8597163674,141929.68765645,109136.987342818,150791.361901302
17.51_716.7805m/z,716.7804957024,1,17.5115,0,9274.4201950105,0,0,119569.180067264,29417.4412564622,23812.1012824013,141427.053856845,0,0,13135.1599106252,1706.0448912778,320.9813999554,86673.7460112512,0,10088.6913466058,620335.565194578,63674.1365887648,83784.4168699911,0,3193.0521377804,223037.24448489,6.1762461412,23843.9491189571,1111775.63248365,189156.186938497,100803.559378561,487647.823921887,18705.6776637973,0
11.00_102.1005m/z,102.1004767417,1,10.9969,15597.4953613284,295.2300720215,0,0,0,0,1052.1751439299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.2881992592,0,0,0,0
