,,,,,,,,e,m,w,e,m,w,e,m,w,e,m,w,e,m,w,m,w,e,m,w,e,m,w,e,m,w
,,,,,,,,8,8,8,15,15,15,26,26,26,27,27,27,36,36,36,41,41,44,44,44,59,59,59,72,72,72
Compound,m/z,Charge,Retention time (min),blank-1,blank-3,blank-4,blank-5,R8-1,R8m-1,R8w-1,R15-1,R15m-1,R15w-1,R26-1,R26m-1,R26w-1,R27-1,R27m-1,R27w-1,R36-2-1,R36-2m-1,R36-2w-1,R41m-1,R41w-1,R44-1,R44m-1,R44w-1,R59-1,R59m-1,R59w-1,R72-1,R72m-1,R72w-1
1.26_539.1245m/z,539.1245149892,1,1.2587333333,0,13.1789892364,0,1791.7811071136,78687.4937864132,84097.9438993914,77462.5397746578,76705.3444945822,199322.451498917,45569.8295123715,227411.313599243,229285.236815526,105796.96517525,163863.48429396,225093.746710219,130847.903780236,148798.378094119,55795.0296840974,50767.2103034608,74221.475883979,85847.6481657754,224328.700788447,150062.68653167,42282.1088099136,198309.010349395,172881.451698415,207390.932405049,850809.923897562,448815.780078598,210241.77179468
3.94_315.0612m/z,315.0611748782,1,3.93915,76.1892076331,0,167.4875462382,0,100210.971165546,46196.5175276417,102262.622121065,772366.469887693,639242.467263998,306562.610153814,132710.83944518,82479.111810111,165137.533309534,70867.3549378268,131253.929685568,205564.786785663,26201.1021859051,21784.3833045963,19334.7587576299,449664.80290266,328426.598173602,122963.542058053,100085.387223528,130377.516690507,234082.199786692,123545.069565626,222632.612422084,219184.856671753,152843.042257267,225170.710353997
1.41_503.1435m/z,503.1435155384,1,1.4125166667,241.4897800977,0,0,454.2141987775,217698.81469989,145034.181867386,204577.212088067,199546.856648325,93949.4863146029,94642.1623693673,178514.281403258,458735.604216825,334971.10862357,195034.353315851,256525.941398784,232623.692519024,264980.062437161,154562.714728726,134812.437812948,139847.785107745,179376.682802362,272764.747751839,79047.7911425174,39142.723290788,257558.615065336,248116.1869082,363922.181753573,171731.635264933,105335.993542174,52535.2899149194
1.76_128.0793m/z,128.0792871907,1,1.7640333333,1124.6532769704,0,46.1831525173,0,1914015.02099821,442655.298359018,640881.970266562,574144.601072658,287017.867674362,149468.609872842,229393.205681579,85932.9358198976,94172.8503135177,215871.962849538,167201.132532718,188020.365570076,132235.984326243,52181.2638288403,74965.7481038916,141595.156089654,174642.198232137,136052.872571691,32512.8146386913,83333.8759337308,139287.259538148,66732.8856629422,107717.122570747,210481.837251501,77115.2032227471,131467.959751102
9.31_587.3917m/z,587.3917107116,1,9.31055,4621.8531839277,0,0,0,177770.214533647,144113.289425146,213218.19457529,147874.550855341,127942.581781997,255577.572962469,97526.9271013787,132493.958251439,116274.787803803,117613.810370661,212081.349487154,131041.221382197,117884.854192083,165825.571193948,268354.527733653,115013.743243779,38701.7897074095,141665.213427132,128035.634906456,108407.05796598,186131.772187295,292170.56590594,307896.174051715,181379.952647135,116622.769370728,138897.151709707
1.21_195.0428m/z,195.0428169518,1,1.2148,316.0217295253,491.5248788846,154.9070247416,1044.0275631413,388876.791095988,235923.243987642,333404.350247324,760807.61947975,716314.725827425,549198.879589178,1005169.47424942,519504.591862539,421612.878944395,49723.8906620537,41402.4084953566,59787.0725159917,960302.230450662,141771.215814705,193166.353519546,120148.0354796,181218.404499606,192193.02642337,182328.021201344,186521.696853638,114466.807228089,65618.1272114452,88717.6122061897,141419.516338732,95430.4549084445,95984.6228269092
1.78_200.0343m/z,200.0343191943,1,1.7750166667,42.9230394366,0,0,0,559680.718486276,214203.540546683,259691.024072771,302296.326742414,209580.783959577,62865.908467639,4615.8692398071,8152.1874676469,43767.6605147356,80034.7652049069,106133.977326821,96725.0918398105,852.6406097412,1353.1836325998,37914.909294633,38542.7385981831,34520.6279847552,44822.4445870606,16896.4425121194,21992.08089115,13543.2868173258,8179.5437939343,13563.9590068071,88451.6994804358,30582.4298816822,33501.4896181341
4.85_549.2573m/z,549.2572808827,1,4.8509,0,0,0,0,4301.3953974749,3548.8754846144,1595.8397704431,2423.5736867434,3400.745171247,3129.6832318797,2159546.69034638,1942117.56881737,1018204.0932388,5611.9174297294,11718.393146522,5872.1600129948,58973.1942221483,101081.367068288,55477.605844267,63288.4211789169,37003.5454422584,9665.966497566,9561.6354208933,43245.9199028296,26684.5941305946,4247.3905396301,56247.1466686483,30562.9591674981,39824.8363687366,87120.9319028543
1.18_118.0040m/z,118.0039823566,1,1.18185,0,0,342.572992546,0,24045.166843895,10520.4137120921,8929.8433887875,19427.5581104657,11994.3615962821,13404.6379952087,19533.7766378651,7083.8545010536,9856.988278729,7068.3712049185,1359.4198038742,640.8382615971,14555.8479714049,11790.8428187481,29396.3800150088,24381.820101997,28030.4249871752,17348.5686951197,13170.9709686385,10301.4307340872,601.1778869629,2819.5128234454,3625.0077639901,30989.360824585,16779.2723964221,39062.051938388
1.32_475.1045m/z,475.1044684478,1,1.32465,0,0,0.0337079645,127.0095596313,179098.318856076,165306.590819169,181300.992346369,1051.6212158203,27977.0381439197,2915.7126770019,29777.8334634325,43464.8504484836,24824.4331468821,30087.329612969,37362.3648600732,57511.3949849572,14486.6841210101,97553.644381997,87215.9099236609,170270.896824814,178618.437702204,17682.020366392,24302.4550695156,1606.3620412341,111894.706468246,87536.095114383,141037.467375494,123506.699170813,88531.9314286719,96469.2603233001
1.35_133.0309m/z,133.0308801645,1,1.3466166667,910.4441924433,5520.1255940907,6145.4525071159,2195.1814924441,623435.946675753,608433.076291786,695134.69729602,107582.890915064,141403.746827834,106914.686520447,92245.9360649006,89368.6978720541,172134.438784568,205803.626691534,186222.435441094,267849.050036789,103144.198080018,250780.910674761,266913.313213802,469381.918296646,523717.573532534,337187.698459326,207204.941879078,262832.804974842,387672.570291088,282990.258589941,419885.575198164,390973.302778113,387949.908115242,446334.743342498
1.46_128.8060m/z,128.8060395841,1,1.4564666667,0,129.2383575439,0,0,625.8283974537,5331.4937204312,1542.3179072826,3216.1389693465,11682.4600605242,1933.0403031128,3490.8591997938,2759.4008345473,6379.1221726693,2235.6717778234,2897.0355603515,1874.766978363,1787.7515536464,2189.6328708261,1078.4379609804,5761.9511029909,5782.7691591383,964.400116533,2961.7477027478,4354.6512982265,1550.5825536656,10103.4138604293,1506.54755928,890.0204067083,8784.9508241595,4144.7558714633
6.19_565.1751m/z,565.1750690107,1,6.1909666667,0,0,0,0,251223.406688781,296905.647529851,328880.381771351,30220.0921832963,73434.4264982115,36258.1022679355,1114.1669607487,1089.5460220606,161.245155279,1510.4853536606,151.0876187354,4044.6526967474,116063.863854575,105046.792719224,74189.8266881665,1207551.65184169,987893.435648422,58113.9511335987,52355.80126066,37024.7256315586,114439.606985602,27864.3116763788,7964.5184449112,27971.0065164078,31551.6313289266,9994.6921922856
1.64_190.9946m/z,190.9946135004,1,1.6432,0,2834.1341316289,754.3508230504,1054.2623906476,512210.114876512,248160.405680025,607541.171724685,706904.212791044,705742.470296077,656458.961985714,378514.288079398,235236.730606683,432129.039134484,129676.833382959,139771.966783134,245051.767172333,270672.218787357,172225.227633062,420366.375907992,261334.012672614,465463.177357438,245297.114694472,88538.059763293,444204.434959411,511738.994144199,517102.50619521,590565.172418905,415966.34343871,358680.755508973,538185.989595844
5.48_465.0769m/z,465.0768546633,1,5.4770166667,0,0,0,0,27933.8411917666,2879.4453042629,2492.9652099609,70195.8063360125,46155.5582584958,22940.3772307204,473.3174005561,66.6136007372,88.1419854172,17927.3576288027,31504.9564849887,19769.6336504349,2529.9030780338,954.0783366675,2048.2299157046,1804.7963057482,4251.0892531884,173635.408689855,92991.9024544832,151880.649602853,6223.7757262339,1015.6061641761,1521.4665684218,97968.1466434183,157043.376062945,268634.263477428
1.30_683.3002m/z,683.3002173434,1,1.3026833333,0,0,0,0,1004405.99471733,2025260.47699402,1367527.37339657,101.8973324145,127750.247305969,4807.4568181044,970683.701985761,940554.52692352,639575.965977895,64725.5469190637,58599.1160129245,56576.2757887388,10497.9879333139,922899.491680466,388852.023085961,1490198.43599641,1244413.62261522,29083.5820387866,17774.1818736078,6156.6543070758,515990.27382117,236901.340968411,310132.233956045,146414.600341796,146707.785708945,59451.5811844166
1.06_158.9211m/z,158.9210548472,1,1.061,2911.552787054,7514.872779237,12877.347849639,13290.885377401,111588.423253789,88452.5952109944,74040.2767059999,103637.166004097,119191.025085413,103140.9905964,98996.1608547584,76803.101983118,176005.743226671,128518.66919482,127161.148724349,61573.3508675995,162373.581509724,122125.669793289,127734.086231379,175295.987603902,179654.031027129,113604.129559653,110172.991676028,114810.822338049,110487.278592952,109295.97457072,56035.6166726891,111489.693013722,134437.899902505,104496.516514645
1.84_110.7235m/z,110.7235416405,1,1.8409166667,0,0,0,0,7402.8661983862,3287.8298738139,12990.2125862482,6792.6021818827,13039.1610974537,7185.2070558026,8744.3645463634,3819.2901058759,9430.3860055851,0,3963.7928020726,4640.3731879118,1226.1314946577,845.5073822765,8716.0296128972,6014.652445907,8338.3524194901,4684.562572352,582.3123433158,5788.3894663369,6640.4191332484,16871.3680792719,6082.9475192546,5958.7565287063,2522.0998490826,9457.2369061461
4.96_407.1119m/z,407.1118907342,1,4.96075,0,102.3771234323,0,0,158054.296070632,166925.140650733,194135.975787047,7197.5966367691,8529.8520180982,9231.9255061473,2153.1392428646,1464.7700308075,5570.0927690403,1767.0955729481,5862.1984553962,13076.1439401418,11444.620851284,14222.3109036814,789.7954406738,521.4888916015,6666.456536057,43749.1620555803,63335.6879018566,74879.226283693,23648.4359999967,2556.058317117,887.3353448427,8178.9529638383,5417.6878564352,10526.5008068759
9.32_293.2164m/z,293.2164259683,1,9.3215333333,6337.516458158,67087.2325634203,81039.9845852672,72854.3604669396,982134.969789155,814254.647209109,931839.447434061,854401.554716864,632545.036017759,1336809.92526487,793722.885420657,883286.548675896,811649.008322326,756949.093658448,1108418.43437437,879102.887994128,710671.40120768,1013088.25694117,1378027.76945982,575063.909750495,336405.199983577,885338.765362303,763144.121952226,757313.855818315,708228.991115678,945462.23705842,1194434.34901305,1085051.03337443,752694.060329092,933380.886425381
6.13_515.1490m/z,515.1489961486,1,6.1250666667,2580.1698462679,0,0,0,2648715.2956522,1174551.48624856,677556.06975422,65562.3916473377,44471.4572946069,30867.9904074757,21140.5612005504,10205.9598671747,3261.7395668719,1936810.60101342,1753062.33203894,1423268.46419921,102119.762856466,86773.44123211,81685.0166439992,120869.69566435,118267.493508212,6265.3215799225,46649.9627854828,22800.2799146223,1292733.93651635,595234.316514235,15630.7852113557,871710.656152233,720506.656408822,169239.333382118
6.59_373.0085m/z,373.0085180579,1,6.5863833333,0,196.0784742722,0,0,31773.2411860466,20666.2823999669,8701.1458346249,21601.9846172129,35308.6714421262,22618.243812002,9115.628940371,4594.982900962,9092.7077674375,93639.1493191627,93009.9212190978,134749.429680536,92547.6721653756,42298.8329316177,14315.5324127592,16723.8269670612,20068.5063473412,21835.5460549196,12949.5865557826,52597.4488066429,12.2401001324,10522.234008394,2124.6232402335,32130.1940437617,20739.0285697717,37580.9570786525
5.19_467.1800m/z,467.1800084815,1,5.1914166667,0,0,0,0,4828.037872611,4262.1850092464,2075.9437918161,67514.3785991088,70198.5062806996,18347.7743329256,4401.8439117564,10332.5636717124,0,55448.9949419638,10798.3648190386,14846.6637619704,49085.5047935198,51034.3508661925,39936.0674676887,136774.363961144,142249.357624726,894635.737719806,404757.813749432,794177.704965125,14702.259463383,3897.4428848812,12859.62015729,31822.7896941837,39958.588637259,35446.9862754635
6.00_521.2158m/z,521.2158095292,1,6.0042333333,0,0,0,0,3692395.7222903,2844950.78130273,3891284.73702101,37069.1598016161,45247.2828660447,22065.4070723923,3026.4135209478,326.5106811524,2485.9948131994,7818.1738556748,9692.17790496,12152.275452752,7637.8866794172,6973.8476100476,14855.5346890406,11243.5425341454,16658.5339225562,127140.434989784,38659.6987502607,48121.2603570704,8.298093815,5350.9461364744,970.3637695313,76543.5433295745,176691.998423337,140110.87207024
1.39_152.4725m/z,152.4725265186,1,1.39055,374.4624694243,3008.5356514816,1766.7012243939,6902.7958154094,0,0,0,51.2050571389,146.0077954409,0,0,0,54.4011268616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
