,,,,,,,,e,m,w,e,m,w,e,m,w,e,m,w,e,m,w,m,w,e,m,w,e,m,w,e,m,w
,,,,,,,,8,8,8,15,15,15,26,26,26,27,27,27,36,36,36,41,41,44,44,44,59,59,59,72,72,72
Compound,m/z,Charge,Retention time (min),blank-1,blank-3,blank-4,blank-5,R8-1,R8m-1,R8w-1,R15-1,R15m-1,R15w-1,R26-1,R26m-1,R26w-1,R27-1,R27m-1,R27w-1,R36-2-1,R36-2m-1,R36-2w-1,R41m-1,R41w-1,R44-1,R44m-1,R44w-1,R59-1,R59m-1,R59w-1,R72-1,R72m-1,R72w-1
19.48_100.8965m/z,100.8965031084,1,19.478,23779.851244985,26711.0692044522,29541.4773392246,33344.3402896578,22535.2071131332,28303.7229628264,29326.1412128198,20639.6477822019,30877.8004090986,38312.5344473861,24660.6295567875,29271.4844291425,29210.0857048032,24187.3771262111,26665.9071098723,27337.373740648,22322.1110072067,30823.5624960318,32602.0491845118,32364.3221961527,30849.8376049076,21425.3330584579,30968.3242239985,37798.3427631229,30494.5179328917,30361.8084363939,28314.0072784425,26317.7668498212,29748.3857470058,31610.0077037484
6.61_585.0742m/z,585.0741542597,1,6.60835,4962.6164629508,0,0,0,12235.3528722045,21582.4972946426,14814.5577769699,36919.5495079574,4390.3681511517,1533.5954967174,15141.8622878357,18953.3399404178,14485.3687462184,0,14278.4231297795,18614.9824596614,8433.1434091949,2239.7246463837,13587.8795320345,598149.315417874,699806.232773628,2436.1650324251,1052.7020610614,3121.1547297461,32627.4704856998,16438.0675252136,23385.7697903847,8419.8199038675,60714.8092134895,15135.9591247792
1.37_845.4343m/z,845.4343165168,1,1.3685833333,0,0,0,0,532071.167117808,560762.124616708,660596.206820324,0,56614.4759307067,0,579976.304595951,1612295.19620634,825936.285606214,140634.94487369,157262.200114571,79602.2546419427,28769.808767109,381683.507983063,175591.194158233,412936.82294733,398125.872498731,46388.8165393485,42893.0696667482,9.3652309612,401251.036956725,309436.925721936,429336.6293931,177035.942949689,95316.4358132329,30506.5327173144
19.54_134.8612m/z,134.8611846231,1,19.5413333333,65406.2252502448,26844.8859863291,37632.2375078622,46096.5563048261,26203.4961441792,45501.2532664993,46034.7065655912,33966.4471707988,41226.213855614,47767.7878402271,40289.3080451197,36317.6777479094,36983.4464298901,28603.7149816218,36859.024065541,46432.6731262195,24700.11903869,42303.8124267045,50250.9778442376,36619.4334839866,34391.3457743618,27042.2292117262,36623.899527982,43806.1883963379,29088.0257314096,37220.5575576908,39169.8419752055,33298.2305431005,41248.8535003667,41026.5812564909
4.50_146.9043m/z,146.9042610991,1,4.4993833333,4360.2074761192,2346.9987532907,1359.5507663976,1093.6943658796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47989.8317406593,12635.6661834715,0,0,0,0,0,0,0,0,0
3.92_174.8913m/z,174.8912674301,1,3.9171833333,7180.9673156737,0,665.3034864378,409.3651046753,0,0,1673.8894042969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3237114058,0,0,0,0
1.02_114.6894m/z,114.6894110745,1,1.0170666667,0,0,123.2406387329,0,810.0824952303,5508.025339137,1699.3629079377,630.023874371,7033.9766297219,4781.8190408325,0,4290.9839994439,1847.1078557589,907.3435890239,6229.1867985511,3135.3375724659,2120.446415337,1319.9592996874,708.967615836,4566.9916612253,2489.0583282754,442.7348841644,5439.9831070652,2452.2387601179,1418.3520929595,6082.9044453974,0,2500.3385294775,7586.0593103109,4993.2692337036
15.45_136.8312m/z,136.8311699584,1,15.4503333333,27277.6190345745,12117.3190142038,14860.0093994142,13906.3068511939,10140.0849675146,18164.1325672851,15986.2378353899,11548.1844067365,11351.3856433442,18014.6307834477,12580.0245246885,15536.34785541,14484.9103057793,15794.6561617317,16674.0376998373,13574.217380192,17198.7293578882,19217.3490009077,18270.7440619946,15634.8217057891,17530.4131493623,13431.1731696901,15632.8633036567,14797.9031323521,14590.5972529584,11024.0047677584,13742.7771146265,13218.1828153075,20069.0210037528,18197.5127265736
1.54_129.0388m/z,129.0387845576,1,1.5443333333,0,0,0,0,177.5536462922,826.2366744331,129.1883747872,3495.9466956797,570.9641703538,0.0531689388,6832.04827529,743.5588801147,0.0092630411,573.176434716,1818.0257239942,215.379992287,1520.0032323141,1551.5737402632,0,1463.7709031959,451.6036808393,23.3416746021,45.7019292319,832.1243704262,2941.7823891151,3785.5551944812,1625.8486682156,5403.316289831,1151.2599448889,3183.0694010176
19.78_155.8071m/z,155.8070654369,1,19.7781666667,17346.0946280965,21861.3995200963,15182.3791046142,15122.4313888545,19373.1175595702,18949.6116809337,20516.1986909338,19254.0977466041,17949.0813031348,17153.1089290893,25893.6026221441,14565.9546062983,11717.5514654956,19219.1051660817,17517.3462371826,13900.6795730591,24415.7526667683,18315.4136799233,14817.631504024,18914.0933252581,18234.9935647095,22415.6615416133,13487.9274802021,18581.8848580693,18587.1942090902,25201.6263585867,13728.1320579035,20717.0926545604,13638.3394178792,16284.2175593581
6.28_615.1855m/z,615.1855418812,1,6.2788333333,0,0,0,0,24896.6135624664,14189.4319448086,13899.5382699429,182.0379533421,1.507840685,0,3280.5597646626,1760.6672394506,1366.698761511,8161767.86910204,6825885.96183678,7147098.33336831,23509.8653078004,12268.3434203596,27174.1103326392,27153.1645080915,14892.0633549641,8863.6555648198,33.7611098859,1040.7780899843,10496.2623928679,357.5692609693,1534.0056417722,69728.7940518647,91476.8522504292,41751.2485819051
18.96_113.8744m/z,113.8743810011,1,18.9568333333,5018.022102356,5386.8394490112,6639.0559158326,6816.7892834756,3338.3078557432,5360.9856112121,4265.8456889463,4790.7948997651,6992.4249496461,4187.9010720571,4396.361076355,6734.7690734864,5109.7701918828,3483.3075547894,4400.7058028607,5193.1862568618,6999.3812179565,6291.9031562843,5465.1500130863,5870.4963210536,4043.6749892979,5331.7916907958,6066.03797455,10708.0341290163,4502.0594027927,5839.9273542017,5926.6871881642,3260.4478921806,4403.4306439989,4452.1727561951
11.51_361.1368m/z,361.1367694255,1,11.5077833333,3744.269308888,0,1939.5970128783,1041.6858825683,64697.0070158866,65882.0475588159,10922.1801917882,44043.9248090568,31976.7466741704,1422.3371963307,85402.3430519486,67254.154558355,22644.1707300624,8549.9835358724,17904.4328306813,3190.022301546,114812.485331964,142629.035238973,139348.47116698,13685.864378411,17857.9209695681,147709.338166275,79513.8637896139,50476.8733398858,70174.337305507,35754.7625934169,36965.0824879105,69356.9628502999,41024.2606271491,27193.9499968266
6.48_100.6723m/z,100.6722609234,1,6.47655,257.0985637718,137.5534083396,336.1806444573,156.2890511985,3209.7539064136,620.9059075579,874.9104919434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2521895892
5.67_491.1488m/z,491.1488366624,1,5.6747166667,0,0,0,0,29962.9586550771,13584.7263544181,37730.6561633337,30322.9305288418,10510.9294803463,12978.2412450366,0,0,106.8999580917,8215.9255372454,1654.0485447823,9519.5022521284,928.3720009881,224.944112039,604.7817377288,14180.1898788364,0,3204.7013244629,7958.2454674362,4100.0927076612,427505.068310668,181306.09261375,360313.866103367,9373.6993506481,120798.408093666,77493.2756374389
5.56_365.0896m/z,365.0896133554,1,5.5648833333,0,0,1.917610125,0,12565.6372634597,599.7440185547,9706.1762920156,6571.7646015102,23930.0895497504,9866.5264238434,28717.4647417081,16110.5845155496,21520.1831197297,2733.3543440072,0,97.9494498294,684.8508973461,1251.4057701009,2332.1123703794,0,20013.347890411,5955.3890234378,11326.6114341319,2420.6667132054,14747.2650728601,6701.7866732044,11435.2432173866,172340.113107488,47965.9011123211,58642.8286097529
4.94_599.2012m/z,599.2011871224,1,4.9387833333,0,0,0,0,369512.900677484,353067.169143938,400958.588743663,26576.8439839701,13559.2210083008,42801.0421296506,0,361.8529717891,1233.3756087325,84645.3272515382,35144.6740383898,73775.5737366002,35646.2880921428,56875.2536384469,32663.1199585143,7862.6222411256,727.2696947808,240.6083588506,195.2176251383,0,0,12576.287446828,13836.3077479869,8099.1270836225,25320.4016396072,32679.3344223272
10.73_361.1421m/z,361.1420907463,1,10.7277333333,544.0375987245,3925.7022352589,5267.8420340067,4928.9339841467,128397.841164089,87074.546753517,27215.4421254445,228405.822709426,199188.033042682,39874.8643487985,85533.9472600991,106456.26705284,97060.5251178863,25621.6668612078,43768.6491832629,28269.2506114338,32397.2359476994,38152.0027722819,14997.4623265693,8623.8236111259,5831.8641687693,297185.966174821,145290.233369431,49637.7644829993,51893.0991554548,21757.4633950967,29339.5084455654,147316.985234745,122764.678948562,86773.7995640472
15.32_135.7006m/z,135.7005607759,1,15.3239666667,11795.7181661196,8849.9542147033,6494.4689301394,10886.7388115363,10829.3122424905,10277.2747300168,8211.4118924682,7678.9585273373,8654.2707378366,9826.0948008673,8265.8604053642,9299.6839783137,9957.3697583613,11126.5807744218,3573.2131094918,10515.6692954036,10089.1084667485,10651.4979814697,7308.7563164526,9410.864613072,6531.8259497884,10889.9202716081,10089.4923578991,9363.4820514833,10601.0130279186,5891.0275779744,7729.7921859372,8573.4886589108,9125.9796170309,5197.0153547541
18.48_135.9135m/z,135.9134602932,1,18.483,59867.7128735657,43427.007407093,32532.3438225657,32945.0509653332,41152.3347967501,39517.0048826432,34226.834874428,33241.9580241184,32867.9650391544,38286.2129038768,50044.197953434,34651.0696261926,43141.3701560374,62317.4002619017,36719.5061308566,37967.8099611396,55923.0138702035,39492.9206327481,47491.1703903328,28899.8550234069,38848.3623436467,45757.2150038779,37937.6411600049,37692.7119373835,49373.750556117,42082.4161341455,34882.7542774408,43835.8867257526,32099.1356973109,36098.9530509673
14.74_135.9025m/z,135.9024758901,1,14.7395666667,42743.5810388631,37933.6309919476,41896.8463508057,41375.3582875847,64651.0067020828,38508.0001023338,37256.2900381085,30912.7686831193,35051.5102710697,40664.2248270454,45286.658145233,41857.1768856351,38019.7372798181,43738.5413963585,37684.5862079449,37992.4893780403,66682.1915347735,58006.4935703064,43382.1741050012,35953.9999543905,35853.1768863515,56901.5885570836,47198.3206751233,45811.4631261599,46276.9139308841,45521.7306431048,36169.598513597,55155.376475631,45422.2392673046,38363.8044197872
8.37_177.0080m/z,177.0080356097,1,8.3658666667,527.436123594,0,437.8261146545,1371.6138054322,0,0,0,0,0,7.8588327389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7807.8843344322,0,0,0,0
18.97_135.7885m/z,135.7885184463,1,18.9726666667,10514.7491138589,8384.9642832598,10626.9746454104,8310.9747619629,11522.1653815983,9428.0991122658,8612.0588015965,5535.8861544395,8548.4246845398,8842.8398114783,17853.1544744809,8490.1631303407,8553.2232501459,11095.1794031273,8437.0906884255,7433.0744214558,9364.6666196894,11161.3517924054,10542.6666068411,7646.638126724,9345.4100052785,11290.170057098,6075.9839298131,11572.7388662959,11069.0430467023,6056.6182052741,9749.6849440092,16772.6736974434,8681.4912409403,11804.8309642091
9.34_305.2001m/z,305.2000648482,1,9.3435166667,0,0,0,0,3678.653919388,15319.9272260281,11289.2861776819,1748.6624942022,117526.587472205,2853.3217117815,3725.6217469545,22543.7035774799,12114.4231366421,115.3565321951,2622.3144753749,0,619.8348547283,1065.6288741497,1259.637475786,15.1808284847,0,15631.7970040248,53161.8614706763,64837.4583024695,404.6112217513,0,2750.4425507994,689.1582271829,8271.069042196,22901.640003308
6.20_357.1340m/z,357.1339604685,1,6.20195,0,141.4592239691,0,116.7597362305,85759.6274694206,68985.8493047525,126711.062370885,4687.1327595226,18695.6459495626,499.5452474678,7346.8259602112,7320.21634298,11210.0999596456,4955.7514607619,2585.7998191201,2242.4356308826,4928.031835244,0,870.937269256,1162.3380118249,5580.1835994447,23330.4520930527,17119.0184437901,5154.3248193114,15384.6625520003,9764.5467529297,610.6997680664,3855.9581902721,1346.2220718268,12114.4344259875
6.04_631.1951m/z,631.1950705154,1,6.0371833333,0,0,0,0,0,3773.8320216458,0,8015.8999984014,1392.0837389763,90344.1486460895,49614.9951321731,33143.5878261491,22065.996259029,8460745.51251827,7276718.7649781,8318366.25453365,34746.1723237071,39347.5370136669,33964.5896782311,10595.3288000976,11171.6328798974,5267.7266584808,33524.1485498261,33737.0783638935,5396.8449365434,3337.1879813036,9028.2520779885,0,2980.040394802,5575.5055495467
1.32_150.8080m/z,150.8080246566,1,1.32465,3064.5333900452,2117.4906986697,3601.0439071655,4044.673461914,0,0,0,0,0,0,2883.7142746991,1428.6925057292,1711.8295818762,0,0,2431.9469419013,0,0,0,0,0,846.9101265176,0,511.8745749431,0,0,0,0,0,0
8.83_327.1103m/z,327.1103463509,1,8.8272333333,77938.7111727829,7903.7088690357,3063.4114682557,6423.5482815818,221055.344375303,136892.36371499,197794.876194806,1640094.15080165,1085677.18839448,99803.8039315607,73778.2847779314,61987.1976851364,554302.40834906,582756.238961591,318858.859834775,221088.083028392,104480.385181124,77122.416319669,110097.274525659,180519.854491485,69308.9698951595,261452.820087814,167293.574212971,257883.095198086,198563.684184609,118789.945318819,304937.763444414,167457.769040731,97806.042777259,140977.406831062
4.17_112.9646m/z,112.9645590355,1,4.1698333333,0,0,0,0,16330.0851899403,13691.2540704217,8521.1086687823,7270.4727633743,997.9528346389,0,19257.7646461054,30157.0127057328,6770.3693032672,9531.1582354608,3780.6582336426,6082.6927337646,425.1931790663,4681.1939247535,2290.7015375148,1632.0933685303,404.6192321777,0,2670.1485137939,0,12364.8499010823,5105.258641796,2961.2852703125,10582.9954528809,0,3228.0360107422
13.53_377.2517m/z,377.2517436662,1,13.52925,10356160.9557073,6606436.33703917,7196057.34684891,7031331.3875044,5994073.04700277,6948486.90818134,7496322.23183012,3198475.22930655,4540374.09166082,7512731.78608948,7113201.80489285,8445577.3186773,7275213.08176675,7668008.20833787,7233969.89311919,7652224.79923061,8137320.79119465,9684999.67383907,7996563.71540385,5319672.86224801,7023442.03827371,6429747.63201666,7356409.93454358,7362547.94513156,6852410.17558722,6754132.62709198,7847458.91519487,6234725.33941462,7514204.34851263,7551795.18402074
6.06_505.1690m/z,505.1690218209,1,6.05915,185.0248355618,0,77.4109899896,0,1640445.606473,802020.506195298,1713409.18073957,1806922.42249905,2424283.65015644,1102961.35521959,5125.4501410193,3538.1199012299,3981.320375889,0,459.5344232578,3882.3699432326,38344.9857274816,14185.0318487156,22806.5582216759,22992.2789323706,39959.4319668123,21908.0929666316,2023.5769471406,8355.29979424,18281.3604395379,1259.8075728004,6411.8058202075,17752.6116684313,47292.1268638198,61693.5751030843
4.44_203.0751m/z,203.0750652567,1,4.4444666667,0,270.7124635223,665.6924440909,243.0859222412,86444.6644157236,38409.2987305452,128323.377760578,96974.6572208957,83230.5928648801,62240.7134895329,186609.778316529,152525.169060822,219906.532016596,25737.136828759,33629.1375770145,23014.8370617404,229731.210838499,334035.044534736,354278.932900347,33051.8770952762,26152.4257580749,48727.922071535,18964.2737315743,47555.6601956985,387361.976269447,221704.923723673,332325.778253096,84240.0206821788,99610.558501415,99692.9754140768
1.64_125.0748m/z,125.0748415262,1,1.6432,0,0,0,0,1904.4363906194,323.3352661133,235.8257066703,785.6548702369,278.9758789735,379.8409154292,997.4052653892,184.3866242017,97.3679089149,424.7705829262,39.00203399,0,1107.2069726549,0,71.1076700138,113.7324883472,0.6165772621,1293.0182189941,0,770.1146697998,457.4224711078,276.7625697008,270.4181404114,565.4003940196,3181.1176276009,4402.14294598
1.20_136.0641m/z,136.0641345798,1,1.2038166667,0,0,0,0,10300.0101569789,1916.7815069315,3186.749089988,1926.6828998293,10.7086689134,205.5896453858,0,58.7447618283,0,0,2.7384618707,193.2699074999,489.7338634111,244.7170222777,128.8437242195,913.171852233,464.7792498883,4077.3055254762,1446.0643308475,1541.7792726948,569.4134245221,235.6195050062,682.3647226658,1340.1778758951,1181.0063099697,679.4596872374
18.03_134.7905m/z,134.7904629704,1,18.025,20185.4576548256,22905.4771858933,8317.7437977127,8597.2577473002,6305.1687399177,11575.5914047031,8498.8336520223,8434.2483624252,8914.1576977231,9618.6503925407,9886.7127306317,10534.1313678276,14060.7847530543,12243.840317813,10529.447299802,12924.2886734499,6550.9585145235,13067.4659678712,9145.1236521399,8877.3299080846,14807.5988903974,7909.066407675,11317.4441061246,14425.2649884784,8244.274096021,12839.970084217,12698.660865741,9172.9232751521,9090.6233231988,13319.593686707
11.16_295.2875m/z,295.2874791295,1,11.1562166667,51533.9558108348,20586.1658908014,31068.2232897681,40761.1600191292,1601793.62230998,1283702.33929181,115602.37260236,1180915.65330135,1508294.50629609,22084.8182086141,1154280.84521479,825106.092342965,451485.429190688,197783.086664304,458735.565403463,150070.583786253,1278456.47766654,1777602.43686721,423208.21330434,610750.1834465,281407.311478833,1773897.13200514,1301881.51641004,200613.637875934,1342325.65776019,589126.420774567,438617.892474607,1961209.92803427,1248987.19097388,685344.693293187
5.84_451.1569m/z,451.1568589388,1,5.8394833333,0,0,362.2438660688,0,1646.7718305844,50.9921296941,7454.8787882841,51121.2107923097,58328.7471197918,18026.43327673,1496.9030936173,0,2291.9336750019,13838.6057185774,17066.439268978,20524.0357590234,0,3684.9628836263,797.8921813965,27125.3960905375,15121.3193900261,412673.456001516,205177.072305668,406480.890879744,120913.706387523,26448.3078137093,22327.735400966,36865.3234502979,7696.6121497374,37876.3209489745
1.98_383.0305m/z,383.030496453,1,1.9837166667,0,0,0.9721421512,0.6996944198,144477.49169345,4241.8140629099,7984.56710353,1200.8052043582,1780.5873317936,3630.0218558538,0,414.8140941372,1945.4161817099,0,334.652053833,0,1854.8400534368,2277.1630137971,14089.2551902378,56253.0989915547,125347.705057586,1848.091926192,267.4296715301,9187.2463896153,3713.2071663661,3157.0884047324,9174.0733771994,7423.6860421648,63115.0252338209,121622.612800028
6.63_345.1288m/z,345.1287836169,1,6.6303166667,0,216.5835782455,188.524433988,148.7469342273,175138.008602687,250996.53369282,276707.816012108,14704.1974664066,19428.4180245332,8338.4644653457,2138.4136474766,2130.6694587146,6053.5443275115,2147.3752983045,6918.2928752391,12852.6024171386,11776.5272434083,1229.5823964692,1617.6313971737,7119.337754211,11.949411255,20584.5104050034,15324.3378883129,26656.0308632843,5817.0551747062,9468.7748619896,1933.1563125584,5847.2284314794,4842.8957419322,21886.3363842697
2.60_129.8094m/z,129.8094378759,1,2.5988833333,0,0,0,0,2310.2515136377,1116.7286668844,3829.5070029653,448.7397320711,1440.4869000482,1801.7096740588,0,0,4944.5551323183,3249.218225012,2154.4222765559,12457.3435353331,20.8459079503,1589.3946509731,865.1407699874,4299.7053676921,913.8738994019,1202.6154177937,0,2700.8486912074,3157.6477530703,846.5562849268,878.7338003043,14138.3690140858,6569.8522866129,12003.2811465533
5.99_511.1483m/z,511.1483063566,1,5.99325,20.9985921052,0,262.6181297302,0,320914.446947959,349531.480729604,333085.513672408,2632.9872982064,999.0918481492,0,19709.1793109587,14975.0784943055,20637.4832484602,2681.6145518407,3491.7271215363,7563.1877670289,7840.9060827345,12227.8825907633,3136.8518940537,8364.105313748,19.1312016549,30803.5228379881,182.2057814222,14172.4608997373,42450.4569712904,13018.6509877424,2737.1352698809,6844.4017239088,12312.5075821299,4590.7720336914
1.70_172.5941m/z,172.5941195134,1,1.6981166667,0,0,0,0,2232.9565404018,908.504393473,3170.4699879623,4443.8505109699,10402.6236503182,5576.2703511266,2762.4858626613,283.2009612357,4360.4800296145,0,0,1363.3364835188,0,0,4885.2805606343,549.3056493751,1060.9428280518,5009.8046527344,700.5374522974,3481.2530300738,2185.2102036016,1896.5541438182,4532.7515915635,14.0452321179,2285.5521462446,3408.4477541272
4.18_458.1013m/z,458.1012803271,1,4.1808166667,0.1099222432,0,0,0,7726.5966575762,2751.8995747554,28426.1439881773,7815.6261520858,2042.4872857521,0,198453.169711871,277304.907299296,0,534.9851634156,1365.6750082063,0,27703.3998576806,15183.0838178767,26592.9545559947,25410.4881161286,28979.481675381,3029.3156066662,8248.5625362479,4035.3872152718,4862.0591997262,0,11864.6634642872,4597.1164382734,2183.0747545909,2098.8955997269
5.21_385.1209m/z,385.1209059629,1,5.2133833333,0,0,0,0,0,709.0176890813,636.0549429815,37499.2558647503,32726.6107465087,37894.2112766272,1542.2764538983,2564.0293237102,1440.9237808968,461.1272537335,0,1833.884612139,239.0457984378,0,0,5847.0269715244,5725.0052681209,91295.5374800102,49101.6360221838,52860.701926251,5176.1934589029,948.9166792812,3369.5354397448,62884.542377376,28477.6155149516,36446.5583283554
6.42_429.1286m/z,429.1285956674,1,6.4216333333,0,0,0,0,89996.8711869499,32692.2070542671,62989.5148397897,3793.7662028781,2622.7696231359,604.284035246,177021.761660963,167418.943094177,185822.165144324,0,0,1399.6100260535,878.2698478871,0,566.5065002441,34194.9580799542,19748.136785703,0,2619.4044613351,3118.1517805922,43608.5671657467,8231.5418669097,19520.9870078393,8032.5199495714,25803.775058935,19821.109974209
6.94_457.1685m/z,457.1684735381,1,6.9378833333,3.4174521373,0,0,0,325989.661035683,152028.487781353,305425.581861185,17461.0976422125,8100.2330497267,5535.9490070196,0,0,71.2915127401,18588.2394874039,10239.8526682611,4777.0966241488,2194.4316679804,1122.0646507793,86.223149477,1670.2290726701,0,33700.0980585128,5842.6770769289,944.6781338667,42700.6425693768,7307.9865696104,40567.8941567311,17006.3551605861,949.572856052,4950.0373983907
4.57_137.0046m/z,137.0046169995,1,4.5653,0,179.8443266986,16.3364543314,0,39853.9288957756,20747.1540033843,15599.8603745787,19315.0072623397,19818.2403932793,9493.312032757,241.4432983398,6900.765736787,0,36228.9336700437,15333.2460771855,18954.7319491095,3058.9630534495,16958.8754053498,14608.4803288624,1276.1574401856,943.1326599121,10233.5293579104,14201.1741748917,16814.4309627263,25488.0141761886,4605.8294702396,8893.9759674072,27215.6507371398,20688.1467464341,16696.9165466212
4.57_529.2003m/z,529.2003426069,1,4.5653,0,181.9199430974,0,0,9546.9289401289,11297.0358938833,9669.7516140417,1583.9155380194,1917.4859726272,4730.8795714555,5790.7299744151,1506.2371056452,0,3543.7613826864,420.0229647833,0,216116.237310298,35146.4997141411,347128.864825121,3273.9462629246,2092.853933221,22197.5515586202,1269.4474538683,8549.4416171,31132.9359605525,11564.8486104336,3192.257751782,22573.7497280764,11547.7867456968,15316.1721880267
4.66_535.2120m/z,535.2119616502,1,4.6641666667,688.7806620613,0,0,0,26006.7980202343,15507.9888123259,7228.2058066216,0,6.4338732422,4155.6828578088,1920.8463973608,3278.835055391,1401.5098384915,2250.8829300687,4325.2742099247,15251.3222619826,266825.055314526,343678.993509336,281089.013548762,538.4789911286,4754.1832293257,4441.2101651965,727.1890869141,17171.1629543513,131.6792328651,749.7859427157,14209.0570653457,1895.8911946779,14306.361036934,45262.1567811546
16.56_313.0127m/z,313.0126976182,1,16.5559833333,21069.6556391019,28011.3602318411,54664.0319441816,61831.0684981024,25576.1171917741,36711.2349354022,37831.7139775476,18043.7984836226,30023.8698255136,42938.1407489625,26060.0364403994,55393.0928621459,30553.6181703897,27075.3882527927,53026.1029860581,28699.8422213303,31575.0640381242,41762.2622833887,44871.9117680442,28446.3982741716,34787.726853994,26176.7061587425,29275.5595793791,36266.0978293886,21485.9143660111,34693.237484504,44468.5145669766,23329.2665423499,38228.9430647058,45503.079154846
16.16_113.8885m/z,113.8884748232,1,16.1611166667,13333.8775122675,8892.7523109692,18068.510809538,15328.7494410348,11999.7398101924,14693.0392832848,17263.6875592189,13382.302754165,17541.1870945571,15045.2202034695,7839.6856594576,18375.4305745833,14576.2667368218,11931.6424879435,19653.827752157,11021.1546512598,11543.9119114108,15999.460948538,16601.4970946808,14504.6777326173,12269.0687879033,13150.9751057057,17207.1418642577,14820.6819860063,6753.5221604299,17899.0649923338,17678.1797988876,11786.1991683931,19148.4205422439,20303.6045265361
4.29_353.0688m/z,353.068821628,1,4.2906666667,0,3423.7382465286,1439.6760018093,547.0060893791,461413.884537392,144256.939879767,271371.409482224,4348952.86862574,3632087.03376673,2204823.04355595,16097.4220470534,3196.7302987063,19784.8646961249,255354.643811655,208108.751231475,282278.171024336,406080.428008158,407429.762633054,319353.786717546,79687.2893514344,37519.6226861783,1251.9923061234,1267.7648212395,4880.3813763487,261088.181470505,138436.605000515,14888.1117197028,22237.8000325264,83035.0119530674,8808.9276388441
17.84_134.6227m/z,134.6226677807,1,17.8353333333,6021.168960306,20459.308849043,11025.2027323902,13446.897242132,13959.3690846257,5284.4969169905,6829.167608842,5859.6428082318,2842.0922559366,2567.867524683,11337.2519180904,8137.0860388867,8493.7569866867,8960.1715610215,11465.4899931394,2380.0084550419,6863.1644674286,7855.9585729205,11376.2932909305,9483.160721695,16632.9700303241,10090.5857923925,7426.697250666,9832.5141878293,5941.2916039588,10062.7180842164,9641.0596645263,10470.2228316112,10870.4718386734,7804.5857038759
7.22_479.1014m/z,479.1014098538,1,7.2234666667,118.9310302338,0,134.8427482396,0,20526.9189993946,24761.9248880594,24534.1409330824,8149.8088683569,16875.3162564533,1739.2504893336,1165.0770917471,41.5352886001,343.5443704398,40329.9679167734,17470.9653280997,21609.6736524585,1642670.39924013,197605.303847631,22328.9937562415,2836.884740446,746.7019838341,9318.3357196916,9911.1214256491,497.123734812,16066.3798321574,3087.0094485754,10765.9991951518,11472.7277445339,9369.3925282719,10730.5430963696
3.86_164.0094m/z,164.0093602734,1,3.86225,0,3707.5846190597,3925.6587592895,5099.218142542,101487.409984899,44399.3143706977,144647.389420209,168538.322927304,145371.313702357,83314.7853635139,5850.6735101576,13892.1522746311,132946.718447613,256389.688164691,230553.558767098,205656.618245447,50030.8839445357,63675.168441114,81519.0699637443,94518.4343975032,92091.1925346541,27723.036731292,17029.1645057299,38491.3869184796,165234.549220085,105545.131981854,149983.243767878,82386.632437908,67495.3527975346,123229.623596046
5.61_523.1822m/z,523.1821622288,1,5.6088166667,0,0,20.9089833535,0,307835.67102637,393957.345627561,399587.135556097,14177.6094517667,32491.9877125223,15223.1534688164,0,941.756090575,8.8081027214,6411.1878068326,9111.0622852049,3348.4311608859,25360.2403481085,3289.5169843137,11780.3079177546,0,0,16704.0533175336,11789.1194527896,7352.6498935797,2646.7958076759,8709.0502417227,36950.2796931542,37175.2819043001,33826.8435757415,34006.9351125853
19.68_158.9165m/z,158.9164734732,1,19.6835,9432.0005335963,6289.6622731638,9523.2411889038,6977.3430834143,6245.9398694691,10237.0658261164,8960.1667951347,7217.444176228,7174.1388050331,4583.0532579224,8087.1313920168,7188.5260342854,8115.4746367856,5555.2297539017,12746.7932540872,9361.5849252048,6918.4601779566,10829.6845990773,9227.4324049375,11651.8089112748,6928.6505734069,6022.5629388935,3656.8194070419,4882.1403704442,3936.0723832664,5686.0316372381,6046.0725152976,8458.7790885809,7551.7133955367,9186.1805813242
16.57_118.9656m/z,118.9656081386,1,16.5717833333,4694.7371875911,2743.1337542625,3741.5561399041,3433.5094032169,2784.9563229917,2895.0392076199,2670.8483092025,1388.7969782342,3540.2307891846,3274.1915748008,1962.0488105876,5223.4805930783,3313.8337834755,2436.4261861385,4195.1796835393,2788.4678341544,3394.8257128379,3674.3289121318,2605.2589138224,3275.0230300558,3634.5405393942,3208.9944488326,3783.8773226822,2845.7841288771,2982.2556173522,2142.015049098,2754.631850968,996.3910937605,3653.9198558822,3690.7869164016
18.42_133.8092m/z,133.8092358058,1,18.4198333333,10709.6543648175,5289.4781188967,5973.2697211023,4595.8819924326,1830.4328671893,2617.0604324111,4587.4621518733,2562.3442655868,5180.970513315,4036.3134865423,2056.8784714813,6662.6281252391,5455.2038884011,9890.5043794522,5264.420836506,1559.4839643696,1891.3476849888,1653.9249825954,5062.2799409629,8210.1196289062,1823.030490415,2746.7092766585,5185.8444079746,4252.944530208,2925.713084427,7617.5012495654,2993.6831334507,8368.864171527,4832.0309533143,2594.7714061856
